"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"1.cluster",1,56,1,0,1,1,0,1,1,0,NA,NA,0
"1.n_cattle",2,53,0.496785297560766,0.260621438675916,0.459724213021666,0.477908091643562,0.274586051874453,0.124879181736791,1,0.875120818263209,0.56608579459301,-0.892138829908707,0.0357991077936425
"1.n_sheep",3,53,0.126504211118334,0.163814282252623,0.0590520876233061,0.0947108571697719,0.0875506251103136,0,0.727848439028729,0.727848439028729,1.68316271828104,2.56007482110788,0.02250162219307
"1.n_milk",4,53,0.0126609540577552,0.0921731368435897,0,0,0,0,0.671030565061024,0.671030565061024,6.87321161494195,46.1121395514418,0.0126609540577552
"1.n_wholecrop",5,53,0,0,0,0,0,0,0,0,NA,NA,0
"1.nue_p",6,53,16.0233962264151,10.9923837170239,12.98,14.5095348837209,9.103164,2.55,50.22,47.67,1.12585703427911,0.699825128240693,1.5099200265108
"1.nsurplus_p_ha",7,53,94.0400707149982,97.7839785515822,64.4564690680019,76.6809588435268,37.990019024089,21.7788461538462,657.469512195122,635.690666041276,3.85098986052116,18.4848296998625,13.4316624389918
"2.cluster",1,57,2,0,2,2,0,2,2,0,NA,NA,0
"2.n_cattle",2,51,0.328939496035547,0.278976411411268,0.300183475718135,0.30575357746695,0.334220039840791,0,1,1,0.480545372491906,-0.616194024892724,0.0390645112812803
"2.n_sheep",3,51,0.516213401913578,0.306996777875386,0.487958503149315,0.516643609357397,0.325648137498403,0,0.998715762437104,0.998715762437104,0.159138890675289,-1.13495000488081,0.0429881473919674
"2.n_milk",4,51,0,0,0,0,0,0,0,0,NA,NA,0
"2.n_wholecrop",5,51,0,0,0,0,0,0,0,0,NA,NA,0
"2.nue_p",6,51,14.3750980392157,12.3527304467553,9.4,11.8919512195122,6.538266,2.44,52.74,50.3,1.78721056235899,2.59577951023439,1.72972824279579
"2.nsurplus_p_ha",7,51,76.2073860338285,294.941453219881,20.5464297686892,25.1889570192796,17.4300029814262,1.93764749720532,2105.19885625162,2103.26120875442,6.39261147843156,40.930360983958,41.3000642898078
"3.cluster",1,6,3,0,3,3,0,3,3,0,NA,NA,0
"3.n_cattle",2,6,0.612030620136375,0.349304065383069,0.610859587743159,0.612030620136375,0.523385234120073,0.156501553452902,1,0.843498446547098,-0.0387537203741755,-1.89607393884227,0.142602787544716
"3.n_sheep",3,6,0.0370685440883833,0.0703833469290861,0,0.0370685440883833,0,0,0.175549062756193,0.175549062756193,1.17247791605744,-0.451039985234527,0.0287338810609244
"3.n_milk",4,6,0,0,0,0,0,0,0,0,NA,NA,0
"3.n_wholecrop",5,6,0,0,0,0,0,0,0,0,NA,NA,0
"3.nue_p",6,6,12.0516666666667,6.76916366079789,11.575,12.0516666666667,10.014963,4.29,20.78,16.49,0.104212899233793,-1.92048901464253,2.76349949239084
"3.nsurplus_p_ha",7,6,301.659148135909,128.604348170722,287.723485713814,301.659148135909,126.908832027972,144.972253052164,506.333333333333,361.361080281169,0.331888661203425,-1.49158048072213,52.5025052869165
"4.cluster",1,56,4,0,4,4,0,4,4,0,NA,NA,0
"4.n_cattle",2,54,0.458113939046632,0.246504229657174,0.455313417702203,0.449703187583205,0.280144609014985,0,1,1,0.234352677959639,-0.781697021693586,0.0335449767832176
"4.n_sheep",3,54,0.20781174672135,0.195833642236038,0.130987432656748,0.183378839997715,0.194201967656895,0,0.809146022004341,0.809146022004341,0.973855541829885,0.365773036203698,0.0266495832193914
"4.n_milk",4,54,0,0,0,0,0,0,0,0,NA,NA,0
"4.n_wholecrop",5,54,0,0,0,0,0,0,0,0,NA,NA,0
"4.nue_p",6,54,16.7074074074074,13.7060144056356,13.365,14.5645454545455,10.659894,1.8,68.84,67.04,1.62991750289264,2.93142698483358,1.86515231672461
"4.nsurplus_p_ha",7,54,51.7620802545807,42.6309561649316,36.7981137268099,44.5718586750629,23.2549563809365,3.45844504021448,208.31067961165,204.852234571436,1.80910511213687,3.28716742061841,5.80133832505774
"5.cluster",1,10,5,0,5,5,0,5,5,0,NA,NA,0
"5.n_cattle",2,10,0.15821274773527,0.101439305420328,0.14050881920353,0.154997321352854,0.0713927164613395,0,0.342148906529863,0.342148906529863,0.369004422119947,-1.02411638482147,0.03207792493937
"5.n_sheep",3,10,0.0445926056263194,0.0495515522177994,0.0322473520944361,0.0396904956639641,0.0478099242152109,0,0.128402090951481,0.128402090951481,0.491780757013724,-1.48734141140961,0.0156695766605014
"5.n_milk",4,10,0.327161891844517,0.35221169847007,0.267888415535379,0.308800879344883,0.397171364872753,0,0.801211883686111,0.801211883686111,0.107333189419849,-2.0446693265867,0.111379118572186
"5.n_wholecrop",5,10,0,0,0,0,0,0,0,0,NA,NA,0
"5.nue_p",6,10,34.957,26.2311363120667,26.28,30.97,21.549591,8.12,93.69,85.57,0.943306247668313,-0.221885405607514,8.295013636048
"5.nsurplus_p_ha",7,10,69.7166270272217,70.6099473863128,48.0299404755283,54.7255526698498,34.3862595281521,5.51569506726457,253.846153846154,248.330458778889,1.63960025570884,1.74285869742564,22.3288259205402
