"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"cluster",1,185,2.4972972972973,1.33971251103396,2,2.42953020134228,1.4826,1,5,4,0.342936189370272,-1.38379274984215,0.0984976227514179
"fa_aaua",2,185,199.106216216216,143.484758983682,160.6,174.884832214765,103.0407,32.8,701.69,668.89,1.46800842307474,1.7270077122838,10.5492092852408
"op_ha",3,185,-115.605952444798,312.437124681162,-62.6977687626775,-79.9395564112588,256.191050038858,-1690.24390243902,482.83424077435,2173.07814321337,-1.7405334206204,5.01161880333129,22.9708342550537
"vc_ha",4,185,413.391986495357,246.489346157375,372.326203208556,385.715567300089,198.43430899629,35,1727.14947856315,1692.14947856315,1.78875788389812,5.96491149158225,18.1222571485244
"gm_ha",5,185,660.874356553318,309.683481941607,615.440940673437,631.729149253545,234.504018705555,108.310844446773,1751.77917107727,1643.4683266305,1.09361945878596,1.6820801251966,22.7683824144393
"nm_ha",6,185,-178.657542190989,285.552110778382,-130.327868852459,-147.078343824011,236.557960679935,-1533.75,500.642770719903,2034.3927707199,-1.53471814173342,4.08866595754985,20.9942087214017
"fbi_ha",7,185,114.064934944978,195.475756914784,121.093247588424,112.324090859662,156.858636744397,-926.817576564581,700.650332728373,1627.46790929295,-0.487718515686194,4.09995638408725,14.3716634748604
"slr_ha",8,185,0.0221272996569047,0.00754815251680367,0.0214272363150868,0.0217076372107193,0.00649596862131038,0.0065749354005168,0.0500393974507532,0.0434644620502364,0.712064108638765,1.02690027531571,0.000554951210014823
"sck_glu",9,185,0.419491624577333,0.256844478002114,0.446532396855668,0.420877781604275,0.285601974520477,0,1.11111111111111,1.11111111111111,-0.0824633348987399,-0.856334215201967,0.0188835815831205
"sd_glu",10,185,0.982188774757442,0.3892146634777,0.968825693011573,0.956122312690602,0.348161433700811,0.245921846315237,2.74101969872538,2.49509785241014,0.888856080249104,1.84404921033995,0.0286156311722126
"sd_dc",11,185,0.0170614252505763,0.101647425038886,0,0,0,0,0.851063829787234,0.851063829787234,6.41958193949325,42.5080270882003,0.00747326731867731
"lspec",12,185,0.974178262593609,0.067938935727336,1,0.991085450425229,0,0.466249176005274,1,0.533750823994726,-4.41484846609589,23.7490116864211,0.00499496989562288
"feed_lu",13,185,182.529990499255,91.8217554292336,167.50406383922,175.233667533562,79.2012420291592,12.9988331388565,538.091925465838,525.093092326982,1.01226587345264,1.68004191192644,6.7508697217894
"homefeed_per",14,185,0.133337125002786,0.22412803987789,0,0.0886107933094384,0,0,0.893917963224894,0.893917963224894,1.42169337237782,0.665022712323094,0.0164782212139448
"cspec",15,185,0.0258217374063912,0.067938935727336,0,0.00891454957477065,0,0,0.533750823994726,0.533750823994726,4.41484846609588,23.7490116864211,0.00499496989562288
"ifert_ha",16,185,73.3872162211278,52.9424123299599,69.3023973659842,69.4647699663793,59.3584977074282,0,254.98,254.98,0.65738983061063,0.135590710388442,3.8924035673906
"arable_ha",17,185,0.0473106564804889,0.0821549407569609,0,0.0297894646797246,0,0,0.4,0.4,2.04991473418714,4.42514984898025,0.00604015137217681
"fodder_ha",18,185,0.0121858182263113,0.0251902332483778,0,0.00595186154254354,0,0,0.165302782324059,0.165302782324059,2.59725388037199,8.21918367669636,0.00185202278181609
"grass_ha",19,185,0.722319065173508,0.255101628401529,0.810439816976375,0.756768295496499,0.201184024176732,0,1,1,-1.07634951815875,0.23718546186275,0.0187554447320745
"rough_grazing_ha",20,174,1.50356727907763,3.28302538401112,0.337421328720981,0.789766003677986,0.500260861961726,0,24.4424853064652,24.4424853064652,4.54794501381076,24.6621485414256,0.248885512063871
"wood_aua_p",21,185,0.0290732027766602,0.0820162319624049,0.000974658869395712,0.0116910597744609,0.00144502923976608,0,0.796351021457022,0.796351021457022,6.17927578670142,47.1248342390877,0.00602995329877976
"fwood_aua_p",22,185,0.012490096600347,0.0698848101858238,0,0.000342987261902452,0,0,0.73210844147501,0.73210844147501,8.14710147180415,72.7459569387399,0.00513803343108679
"nue",23,174,0.167037356321839,0.14030026362114,0.12255,0.142297142857143,0.09073512,0.018,0.9369,0.9189,2.0343546915875,5.65949563903489,0.010636135536479
"farm_n_surplus",24,174,91.211091954023,127.811615094779,76.65,77.354,50.215662,2.46,1619.74,1617.28,9.87521917243106,114.688142102558,9.6893735350012
"dsecxx613*",25,185,7.6,18.3090022998904,1,2,0,1,82,81,2.7231497016336,6.06125157502811,1.34610462068286
"dseczz612*",26,185,2.55675675675676,5.84196496408513,1,1,0,1,33,32,3.93977929793482,14.6667493035204,0.429509806335511
"outputinputlesssubsratio",27,185,0.748437567567568,0.204249048092686,0.75404,0.750389865771812,0.184316832,0.10512,1.26398,1.15886,-0.159788974155401,0.387934046718362,0.0150166886706484
"fo_kg_ha",28,185,447.454803836425,800.628407037845,211.884057971014,256.600324460359,155.486710173069,5.14580658684204,6604.19803600655,6599.0522294197,4.34417930592352,23.0740441062056,58.8633711717897
"netem_ha",29,185,5061.07857884922,4500.58676395205,5274,5190.8803525876,2783.29454516129,-38551.4668769716,17263.4994206257,55814.9662975973,-4.76611858936867,46.0042519793142,330.88971968594
"ghg_ha",30,185,5630.59461246604,2835.05941084213,5459.91218441273,5415.68517754407,2604.64239644705,986.572252819302,17667.3001158749,16680.7278630556,1.0903034682844,2.461752609913,208.437713335579
"tde_ha",31,185,282.718244702799,152.250610471116,272.531092990693,273.810920431037,166.335621480848,0,703.772151898734,703.772151898734,0.440426769435318,-0.420640453246341,11.1936875041073
"tie_ha",32,185,978.49938009187,762.513263211354,870.677644078531,870.643300268385,594.363513820507,6.18863049095607,5387.02201622248,5380.83338573152,2.27295196316477,8.54873469929378,56.0610900653452
"tch4_ha",33,185,3023.06290122347,1387.32698504401,2954.1310834448,2930.8381860017,1443.83430241371,527.482297403619,7993.37195828505,7465.88966088143,0.710654236992758,0.734975654305374,101.998308502967
"tn20_ha",34,185,1346.3140864479,784.482206515046,1298.76909709652,1276.77136211453,689.07644949391,157.359034880671,6403.08,6245.72096511933,1.9662524776333,8.88317177474017,57.6762789002276
