"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"1.cluster",1,56,1,0,1,1,0,1,1,0,NA,NA,0
"1.fa_aaua",2,56,154.916964285714,93.4316625895807,149.7,143.680434782609,74.64891,32.8,544,511.2,1.76446128540517,4.66070766717295,12.485331088817
"1.op_ha",3,56,-140.712705520692,360.842151222041,-87.3897370178294,-99.36727209926,302.190036531794,-1690.24390243902,482.83424077435,2173.07814321337,-1.75774078243872,4.9479121299961,48.2195607349768
"1.vc_ha",4,56,542.689354182231,173.58803669204,517.796436667183,530.812907164017,143.862384263247,189.664,1083.74264637221,894.07864637221,0.821329570361959,0.877776311039761,23.196677133727
"1.gm_ha",5,56,835.866982791188,301.579978667619,791.593651513901,804.446973480608,254.796926395951,300.982735723772,1751.77917107727,1450.7964353535,1.11372730338063,1.37718488856163,40.3003198173152
"1.nm_ha",6,56,-197.523367382001,341.431975479233,-164.030761902629,-169.0640641265,294.355489979767,-1533.75,500.642770719903,2034.3927707199,-1.17621965995903,2.85694660695233,45.6257668975961
"1.fbi_ha",7,56,149.237740868772,220.450432074418,121.565474781645,132.421041692375,221.220979407896,-343.743984600577,700.650332728373,1044.39431732895,0.586025570992746,0.0270962946002928,29.4589281281697
"1.slr_ha",8,56,0.026217301643374,0.00558244810364182,0.0251982660880444,0.0256979229294903,0.00403134347980782,0.0182219979818365,0.0459272097053726,0.0277052117235361,1.104963334815,1.47897398559374,0.000745986006545486
"1.sck_glu",9,56,0.54430793222902,0.185823848420383,0.586717982832909,0.553181629372404,0.178155184984125,0.0393274997542031,0.870515831241396,0.831188331487193,-0.524650068826828,-0.38378961730421,0.0248317562528888
"1.sd_glu",10,56,1.26971113381741,0.212827007322231,1.20627861961975,1.25726057557103,0.194335456193181,0.877331189710611,1.88717504332756,1.00984385361695,0.617241724008509,-0.169011364698318,0.028440205144722
"1.sd_dc",11,56,0.00435423365487674,0.0325841010370185,0,0,0,0,0.243837084673098,0.243837084673098,7.08719543285625,49.1061862244898,0.00435423365487674
"1.lspec",12,56,0.9807705548304,0.0441178649649615,1,0.992027096825954,0,0.773966645959765,1,0.226033354040235,-3.12752467071523,10.0064309906252,0.00589549769053012
"1.feed_lu",13,56,192.149694062979,82.1985334502125,187.728521487412,185.952716294541,81.4047692531394,65.2283392468811,538.091925465838,472.863586218957,1.28141918599423,3.51820856837131,10.9842410666419
"1.homefeed_per",14,56,0.166074692453432,0.223682967423831,0,0.135004241645742,0,0,0.893917963224894,0.893917963224894,1.06688163642709,0.227630960476695,0.0298908938341747
"1.cspec",15,56,0.0192294451696004,0.0441178649649615,0,0.00797290317404585,0,0,0.226033354040235,0.226033354040235,3.12752467071524,10.0064309906252,0.00589549769053012
"1.ifert_ha",16,56,106.094011161586,43.3556258723501,114.326335286699,109.077968875767,36.4006356413608,0,180.451527224436,180.451527224436,-0.633087833891279,0.10558459529949,5.79363920726736
"1.arable_ha",17,56,0.064093368901771,0.084749364191628,0,0.0504606697778363,0,0,0.362999299229152,0.362999299229152,1.42230000749618,1.91524364505047,0.0113251101625714
"1.fodder_ha",18,56,0.0184856540873307,0.0262684551270979,0,0.0143781073208149,0,0,0.10126582278481,0.10126582278481,1.18351270508848,0.4259576561541,0.00351026997019449
"1.grass_ha",19,56,0.832116668419557,0.129003803304804,0.871102885317206,0.843941717215,0.0915269981581717,0.544061302681992,1,0.455938697318008,-0.843354517667674,-0.290913668696832,0.017238858341334
"1.rough_grazing_ha",20,53,0.488278521173749,0.929727689279362,0.122476446837147,0.25739692143246,0.181583580080754,0,4.24603174603175,4.24603174603175,2.78509567055462,7.33948236941024,0.127707919718125
"1.wood_aua_p",21,56,0.016305252963403,0.0334156666770275,0,0.00852419275526197,0,0,0.179304897314376,0.179304897314376,2.88164143916922,9.36897898320081,0.004465356287717
