fa_id,F_NUMBER,CF_ACCURACY,audit_full,type_audit,Farm Type,FA_GENT,FA_PRINCT,FA_PART,audit_year,carbon_other,de_d,de_e,de_of,de_re,de_rh,total_de,ie_fert,ie_lime,ie_feed,ie_bed,ie_pest,ie_wp,ie_refloss,ie_dc,ie_tr,total_ie,total_co2eu,me_ferm,me_manm,total_me,no_fert,no_mants,no_manm,no_orgmants,crop_nres,total_no,wf_co2,seqfor,netmlandu,total_wf_co2,total_lu_co2,total_ha_co2,farm_output_kg,Averages size of Business,sumsox,o_tot,outp_ns,o_tgs,i_totnew,FBI,i_feed,i_fee_ho,Q of Feed Home Produced (tonnes),i_ole,i_fert,labourx,i_mach,i_machd,landbc,newxmisc,Output/Input Ratio,Output/Input less SUBS Ratio,Average size of farm (hectares),aoc,aop,aosr,aocc,aofc,agr,noe,nrc,ndc,fis_d_oc,o_tc,o_tl,o_miscnew,omcat12,bullzz,dcow,ocat12,ofcat2,heifrr,omcat2,ocatt1,reacow,caveal,hefdar,chikks,fdeer,goatzz,henszz,opoult,tchick,booars,sowgil,piglet20,stopig,horsey,o_live,ewehlow,lamlow,oshlow,ramlow,ewelow,ewehill,lamhil,oshhil,ramhil,ewehil,dsecxx613,dseczz612,cropxp,livexp,otherxp,YS_YEAR,FA_ESU,FS_SIZE,FA_ORGPC,FA_CNW,FA_NETP,FA_TCCV,FA_TCOV,FA_MCV,FA_MOV,FA_INT,FA_LABU,FA_ACV,FA_AOV,FA_MIOUT,FA_MIOUQ,FA_VCEXP,FA_TFCEX,FA_GLU,FA_OUTPT,FA_CINC,FA_CREV,FA_LREV,FA_IFEED,FA_IFUEL,i_lbc_rr,i_gross_rent,i_labour,FT_TEN,FA_FBUS,FA_AAUA,CO2e_PerAdjHA,NUTS2,lfasubx,lfabase,lfasupp,nsub_bps,nsub_bes,nsub_dtup,nsub_ssbeef,nsub_susheep,srdp1,srdp2,lmo,agri_eg,aid_scp,esa_g,supp_ad,supp_fa,fws_g,other_g,supp_q,othersub,ar_pil2,arg,aarg,afwl,aowl,lab_hrs_reg
110742021,11074,Average,2,0,1,1 - Specialist field crops,"15 - Specialist cereals, oilseeds and protein crops","151 - Specialist cereals (not rice), oilseeds and protein crops",.,0,59765,14365,34550,0,0,108680,414872,0,0,0,606,0,0,0,0,415478,524158,0,0,0,0,281665,0,0,45577,327242,851400,0,851400,0.48,0,3021,1769400,2.1863,258603.91,339107,279979,59128,326561,19838,0,0,0,0,57019,45678,36509,61527,44980,29155,1.0598,0.88158,281.81,217.13,0,0,0,8,56.68,0,0,0,0,236129,0,43850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,108712,0,217849,2021,107.85,9,1,578257,15862,152396,214311,279288,256829,1517,2,716630,800842,0,0,154390,214717,0,339107,139304,275720,0,0,22925,42299,38167,45678,2,2,281.81,3021.18,UKM7,0,0,0,59128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5748
110882021,11088,Average,2,0,6,4 - Specialist grazing livestock,"48 - Sheep, goats and other grazing livestock",482 - Sheep and cattle combined,.,0,18167,540,5468,0,0,24175,15212,0,28812,5106,0,0,0,446,0,49575,73750,337202,9258,346460,0,7170,0,108686,4852,120709,540918,193080,347838,25.07,4486,2488,21569,3.1926,111743.7,140010,63121,76889,86772,53238,8928,0,0,12590,3696,155,11807,24920,17531,7034,1.61354,0.72744,607.07,0,0,0,0,0,173.11,461,31.5,0,71.1,-4500,65555,2066,14.1,2,0,12.8,0,7,0.2,35,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,132,310.3,0.6,8,461,.,.,3807,21518,61447,2021,24.78,7,1,777740,58427,99144,98725,107654,93477,57,1,818027,889226,0,0,25480,88871,124.77,139953,83114,1600,70868,8928,5194,10847,9217,155,4,2,217.41,2488.01,UKM9,10000,10000,0,53625,0,0,3424,0,0,0,0,0,0,0,0,0,0,0,0,0,9840,433.96,44.3,8.64,9.09,2496
111742021,11174,Average,2,0,5,4 - Specialist grazing livestock,46 - Specialist cattle - rearing and fattening,460 - Specialist cattle - rearing and fattening,.,0,18256,1973,3840,0,0,24069,14144,0,15845,0,0,0,0,745,0,30734,54803,279972,7686,287657,0,11170,0,94525,8663,114358,456819,16335,440484,17.16,5114,2574,26619,1.9026,104639.7,111701,68382,43319,87743,24858,6687,0,0,11089,3527,13052,16447,7114,16578,12170,1.2833,0.7896,177.5,0,0,0,0,0,177.5,177.5,45.5,0,79.1,6426,58252,3704,16.3,2,0,15.7,0,5.1,0,40,45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17.3,7.4,3,177.5,.,.,4606,17776,65361,2021,20.52,7,1,985456,29806,89940,117738,31290,37539,0,2,997363,943876,0,0,22382,109474,87.12,111571,58626,7346,90952,6687,5867,3292,0,13000,1,2,177.5,2573.63,UKM9,3156,3156,0,36537,0,0,3626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,4500
113322021,11332,Average,2,1,5,4 - Specialist grazing livestock,46 - Specialist cattle - rearing and fattening,460 - Specialist cattle - rearing and fattening,.,0,13775,6506,4408,0,0,24689,27719,683,61432,0,0,0,0,1119,0,90953,115642,228954,6325,235279,0,21585,0,76394,3068,101046,451967,40293,411674,28.08,5885,8248,16093,1.5511,55903.98,66891,49566,17325,61903,4320,14011,0,0,7318,2937,0,15480,4520,13035,3742,1.06906,0.79217,58.1,0,0,0,0,0,54.3,174.5,40.5,0,62.4,-949,48213,2302,6.8,2.5,0,9.8,0,3.8,0,39.5,40.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.8,8.7,6,174.5,.,.,3797,21329,36777,2021,17.91,7,1,794413,15147,93740,95579,23592,27374,0,1,805232,805219,0,0,25126,69552,76.3,66891,14394,0,55828,14011,5080,2432,0,0,1,2,54.8,8247.57,UKM9,1803,1803,0,11695,0,0,3827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0.5,0,3.7,3276
113372021,11337,Average,2,3,1,1 - Specialist field crops,"15 - Specialist cereals, oilseeds and protein crops","151 - Specialist cereals (not rice), oilseeds and protein crops",.,0,84546,3420,10411,0,0,98377,297301,69377,0,0,462,0,0,0,0,367141,465518,0,0,0,0,229890,0,0,35903,265793,731311,18513,712798,0.69,11365,3516,1058280,2.2463,271468.92,226158,182568,43590,260100,-32996,0,0,0,0,35936,28777,57118,31080,39673,26379,0.87899,0.71913,208.02,134.6,0,27.16,0,4.98,41.28,0,0,0,99,159563,0,23005,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,77073,0,183027,2021,90.46,8,1,3123183,-17570,115624,108687,145533,117076,13788,2.12,3922908,3776901,0,0,77073,214586,64.35,226158,-11538,152318,0,0,17188,3247,0,28777,1,1,208.02,3515.58,UKM9,0,0,0,43590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,4331
113812021,11381,Average,2,0,5,4 - Specialist grazing livestock,46 - Specialist cattle - rearing and fattening,460 - Specialist cattle - rearing and fattening,.,0,19122,1567,3048,0,0,23737,81446,31777,1754,0,56,0,0,54,0,115086,138823,306800,8598,315398,0,63480,0,102419,7146,173046,627267,32670,594597,48.84,6580,12545,12841,1.7289,82201.4,102346,84162,18184,91877,10621,23132,15974,125.5,4798,11957,0,8380,21563,5613,11433,1.11459,0.91838,51.1,20,0,0,0,0,28.9,0,58,0,105.5,14750,66865,2547,28.2,2.5,0,20.8,0,0,0,54,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,16958,27930,46989,2021,31.35,7,1,1026839,14098,136043,113271,92312,74733,0,2.31,1027299,1010469,0,0,44888,111586,91.39,102346,19728,0,55115,23132,5006,3221,0,0,1,2,50,12545.34,UKM7,857,857,0,11687,0,0,5640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,1.1,0,3,5000
114072021,11407,Average,2,0,4,4 - Specialist grazing livestock,"48 - Sheep, goats and other grazing livestock",481 - Specialist sheep,.,0,13878,1346,1559,0,0,16784,5424,0,24974,0,0,0,0,315,0,30713,47497,131122,3177,134299,0,3711,0,38253,1242,43207,225003,23958,201045,27.67,3341,3280,8130,2.2605,35599.39,58546,30941,27605,52609,9737,10935,0,0,9583,882,785,10987,7064,5402,6971,1.18508,0.66036,577.9,0,0,0,0,0,12,561.5,0,0,0,140,29436,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,137.3,264.1,0,11,561.5,.,.,882,20518,31209,2021,13.68,6,1,946733,7183,61437,57845,30608,33012,0,1,975171,870628,0,0,22185,61681,72.85,58546,12225,0,33059,10935,3760,1648,0,785,1,1,68.6,3279.93,UKM9,6744,6744,0,20861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565.9,56.6,0,2.2,2408
114112021,11411,Average,2,0,4,4 - Specialist grazing livestock,"48 - Sheep, goats and other grazing livestock",481 - Specialist sheep,.,0,12119,452,11878,0,0,24449,0,0,20987,3108,0,0,0,224,0,24319,48768,99867,2430,102297,0,0,0,29254,2342,31596,182661,123057,59604,17.08,3933,1564,10693,1.4826,58277.38,101404,62499,38905,77707,28698,6385,0,0,11197,0,12210,22629,1324,9643,13540,1.3693,0.86863,138.7,0,0,0,0,0,112.4,445,0,0,0,160,61137,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,199,4.1,10,445,.,.,779,17582,59346,2021,9.22,5,2,1554695,27996,34870,40730,6751,7003,0,1.86,1602268,1474136,0,0,28651,88404,50.87,101404,36228,0,68592,6385,6872,2104,0,12210,1,2,116.8,1563.88,UKM9,3431,3431,0,27674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7800,26.3,4.4,0,11.3,3534
114202021,11420,Above Average,2,0,2,1 - Specialist field crops,16 - General field cropping,166 - Various field crops combined,.,0,105417,6339,11089,0,0,122845,228584,53205,40741,0,333,0,0,171,0,323033,445878,258741,6757,265498,0,147228,0,90652,45800,283680,995057,0,995057,1.05,12042,5765,945420,2.9542,240995.98,258916,229218,29698,268315,-5895,20213,5713,52.9,8967,47046,21642,50517,34898,40295,13729,0.97807,0.86759,172.6,100.8,6.9,16.2,8.1,3.2,37.4,0,43.5,0,92.6,169630,54506,5082,17,2.5,0,23.3,1,4,0.3,44.5,43.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,58.1,12.3,0,0,0,0,0,0,0,.,.,78054,29180,161081,2021,91.03,8,1,368023,-5674,226394,216078,153671,160604,180,2.52,448462,462076,0,0,107234,206484,81.09,258916,17736,160223,102277,20213,21392,37683,33195,16901,2,2,172.6,5765.1,UKM7,0,0,0,25468,0,0,4230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5900
114302021,11430,Average,2,0,7,4 - Specialist grazing livestock,"48 - Sheep, goats and other grazing livestock",484 - Various grazing livestock,.,0,5010,724,539,0,0,6272,29977,0,5,0,0,0,0,176,0,30158,36430,133622,3322,136943,0,23710,0,41433,1161,66304,239677,100188,139489,1.99,5678,2869,120095,0.7963,42168.37,71893,55345,16548,34345,37549,756,0,0,6852,3996,0,5309,5259,4688,5984,2.09326,1.61144,89.6,0,0,0,0,0,82.64,0,0,0,17.63,10158,40975,4212,2.2,0,0,0.8,3.83,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,.,.,5497,7608,21240,2021,10.56,5,1,986430,40081,34050,65829,23180,13157,0,0.78,996739,960289,0,0,13105,55851,41.79,71893,75445,14961,101084,756,1305,2854,0,0,1,1,83.54,2869.01,UKM7,0,0,0,16548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.96,0.9,2.2,7,1500
