FA_ID,AN_CODE,CROP_YEAR,FARM_TYPE,TOTAL_AREA,NOUTPUT_BARLEY,NOUTPUT_WHEAT,NOUTPUT_OSR,NOUTPUT_OATS_MC,NOUTPUT_STRAW,NOUTPUT_WHOLECROP,NOUTPUT_SILAGE,NOUTPUT_HAY,NOUTPUT_PEAS,NOUTPUT_BEANS,NOUTPUT_KALE_TURNIPS,NOUTPUT_SUGAR_BEET,NOUTPUT_POTATOES,NOUTPUT_VEG,NOUTPUT_FRUIT,NOUTPUT_CATTLE_MEAT,NOUTPUT_SHEEP_MEAT,NOUTPUT_PIG_MEAT,NOUTPUT_POULTRY_MEAT,NOUTPUT_EGGS,NOUTPUT_MILK,NOUTPUT_WOOL,NOUTPUT_TOTAL,NINPUT_FERT,NINPUT_LIQN,NINPUT_CEREALS,NINPUT_WHOLECROP,NINPUT_STRAW,NINPUT_HAY,NINPUT_SILAGE_GRASS,NINPUT_SILAGE_MAIZE,NINPUT_HIGH_ENERGY_CONCS,NINPUT_LOW_ENERGY_CONCS,NINPUT_MEDIUM_ENERGY_CONCS,NINPUT_SOYBEANS,NINPUT_SOYA_OILCAKE,NINPUT_POTATOES_VEG,NINPUT_RAPECAKE,NINPUT_DRAFF,NINPUT_BEETPULP,NINPUT_MILKPOWDER,NINPUT_PEAS,NINPUT_BEANS,NINPUT_ATMOS_N,NINPUT_SEED_BARLEY,NINPUT_SEED_WHEAT,NINPUT_SEED_OSR,NINPUT_SEED_OATS,NINPUT_SEED_WHOLECROP,NINPUT_SEED_PEAS,NINPUT_SEED_BEANS,NINPUT_SEED_KALE_TURNIPS,NINPUT_SEED_SUGAR_BEET,NINPUT_SEED_POTS,NINPUT_BEDDING,NINPUT_FYM,NINPUT_COMPOSTED,NINPUT_MIXED_SLURRY,NINPUT_SOLID_POULTRY,NINPUT_TOTAL,NUE,FARM_N_SURPLUS,TOTAL_ADJUSTED_AREA,ROUGH_GRAZING,Organic_code,Variable,Comment
131762021,NNKG,2020,Mixed cattle & sheep,3.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91.83,70.33,0.00,0.00,0.00,0.00,0.00,162.17,"3,064.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,861.36",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,935.08",3.29%,"1,473.12",76.94,294.69,1,Total_N_kg,
131762021,NKGH,2020,Mixed cattle & sheep,3.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.34,21.71,0.00,0.00,0.00,0.00,0.00,50.05,945.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,574.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,523.17",3.29%,"1,473.12",76.94,294.69,1,KG_per_ha,
124662021,NNKG,2020,Specialist Sheep,111.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.91,56.74,0.00,0.00,0.00,0.00,1.83,98.48,960.00,0.00,0.00,0.00,0.00,512.00,42.50,0.00,0.00,0.00,"1,064.79",0.00,0.00,0.00,0.00,0.00,0.00,11.26,0.00,0.00,335.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,925.56",3.37%,25.32,381.67,1348.8,1,Total_N_kg,
124662021,NKGH,2020,Specialist Sheep,111.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.51,0.00,0.00,0.00,0.00,0.02,0.88,8.60,0.00,0.00,0.00,0.00,4.58,0.38,0.00,0.00,0.00,9.54,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.20,3.37%,25.32,381.67,1348.8,1,KG_per_ha,
131502021,NNKG,2020,Speciallist beef with sheep,81.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,201.72,141.61,0.00,0.00,0.00,0.00,1.41,344.74,"4,410.00",0.00,0.00,0.00,0.00,0.00,425.00,0.00,0.00,0.00,"4,214.40",0.00,0.00,0.00,0.00,0.00,0.29,11.26,0.00,0.00,487.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,548.75",3.61%,113.21,91.1,39.3,1,Total_N_kg,
131502021,NKGH,2020,Speciallist beef with sheep,81.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.48,1.74,0.00,0.00,0.00,0.00,0.02,4.24,54.24,0.00,0.00,0.00,0.00,0.00,5.23,0.00,0.00,0.00,51.84,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,117.45,3.61%,113.21,91.1,39.3,1,KG_per_ha,
132652021,NNKG,2020,Speciallist beef with sheep,68.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,609.37,96.14,0.00,0.00,0.00,0.00,0.73,706.24,"11,706.00",0.00,0.00,0.00,183.60,352.00,255.00,0.00,0.00,0.00,"5,540.18",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,206.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"18,243.18",3.87%,254.90,86.2,174,1,Total_N_kg,
132652021,NKGH,2020,Speciallist beef with sheep,68.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.86,1.40,0.00,0.00,0.00,0.00,0.01,10.27,170.15,0.00,0.00,0.00,2.67,5.12,3.71,0.00,0.00,0.00,80.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,265.16,3.87%,254.90,86.2,174,1,KG_per_ha,
120752021,NNKG,2020,Mixed cattle & sheep,309.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.44,103.26,0.00,0.00,0.00,0.00,2.27,189.97,753.00,0.00,0.00,0.00,32.40,608.00,850.00,0.00,0.00,0.00,"1,426.75",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,927.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,597.66",4.13%,14.26,84.6,408.93,1,Total_N_kg,
120752021,NKGH,2020,Mixed cattle & sheep,309.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.33,0.00,0.00,0.00,0.00,0.01,0.61,2.44,0.00,0.00,0.00,0.10,1.97,2.75,0.00,0.00,0.00,4.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.87,4.13%,14.26,84.6,408.93,1,KG_per_ha,
