FA_ID,AN_CODE,CROP_YEAR,FARM_TYPE,TOTAL_AREA,NOUTPUT_BARLEY,NOUTPUT_WHEAT,NOUTPUT_OSR,NOUTPUT_OATS_MC,NOUTPUT_STRAW,NOUTPUT_WHOLECROP,NOUTPUT_SILAGE,NOUTPUT_HAY,NOUTPUT_PEAS,NOUTPUT_BEANS,NOUTPUT_KALE_TURNIPS,NOUTPUT_SUGAR_BEET,NOUTPUT_POTATOES,NOUTPUT_VEG,NOUTPUT_FRUIT,NOUTPUT_CATTLE_MEAT,NOUTPUT_SHEEP_MEAT,NOUTPUT_PIG_MEAT,NOUTPUT_POULTRY_MEAT,NOUTPUT_EGGS,NOUTPUT_MILK,NOUTPUT_WOOL,NOUTPUT_TOTAL,NINPUT_FERT,NINPUT_LIQN,NINPUT_CEREALS,NINPUT_WHOLECROP,NINPUT_STRAW,NINPUT_HAY,NINPUT_SILAGE_GRASS,NINPUT_SILAGE_MAIZE,NINPUT_HIGH_ENERGY_CONCS,NINPUT_LOW_ENERGY_CONCS,NINPUT_MEDIUM_ENERGY_CONCS,NINPUT_SOYBEANS,NINPUT_SOYA_OILCAKE,NINPUT_POTATOES_VEG,NINPUT_RAPECAKE,NINPUT_DRAFF,NINPUT_BEETPULP,NINPUT_MILKPOWDER,NINPUT_PEAS,NINPUT_BEANS,NINPUT_ATMOS_N,NINPUT_SEED_BARLEY,NINPUT_SEED_WHEAT,NINPUT_SEED_OSR,NINPUT_SEED_OATS,NINPUT_SEED_WHOLECROP,NINPUT_SEED_PEAS,NINPUT_SEED_BEANS,NINPUT_SEED_KALE_TURNIPS,NINPUT_SEED_SUGAR_BEET,NINPUT_SEED_POTS,NINPUT_BEDDING,NINPUT_FYM,NINPUT_COMPOSTED,NINPUT_MIXED_SLURRY,NINPUT_SOLID_POULTRY,NINPUT_TOTAL,NUE,FARM_N_SURPLUS,TOTAL_ADJUSTED_AREA,ROUGH_GRAZING,ORGANIC_CODE,Variable,COMMENT
117222022,NNKG,2021,Specialist Cereals,97.32,0.00,"4,779.84","3,071.52","2,085.12",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,936.48","21,891.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,583.92,0.00,193.80,4.27,52.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"22,725.54",43.72%,131.41,142.67,0.00,1,Total_N_kg,
117222022,NKGH,2021,Specialist Cereals,97.32,0.00,49.11,31.56,21.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,102.10,224.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,1.99,0.04,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,233.51,43.72%,131.41,142.67,0.00,1,KG_per_ha,
131762022,NNKG,2021,Mixed cattle & sheep,3.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.76,70.30,0.00,0.00,0.00,0.00,0.15,158.20,"4,322.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,488.21",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,819.93",2.72%,"1,747.45",76.94,294.69,1,Total_N_kg,
131762022,NKGH,2021,Mixed cattle & sheep,3.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.09,21.70,0.00,0.00,0.00,0.00,0.05,48.83,"1,333.95",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,459.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,796.27",2.72%,"1,747.45",76.94,294.69,1,KG_per_ha,
137972022,NNKG,2021,Speciallist beef with sheep,124.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,417.86,78.75,0.00,0.00,0.00,0.00,0.33,496.94,"9,840.00",0.00,"2,079.88",0.00,402.84,0.00,846.60,0.00,0.00,0.00,198.65,518.88,0.00,0.00,0.00,0.00,0.00,4.50,0.00,0.00,744.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"14,635.47",3.40%,114.00,126.02,4.00,1,Total_N_kg,
137972022,NKGH,2021,Speciallist beef with sheep,124.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.37,0.63,0.00,0.00,0.00,0.00,0.00,4.01,79.34,0.00,16.77,0.00,3.25,0.00,6.83,0.00,0.00,0.00,1.60,4.18,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.01,3.40%,114.00,126.02,4.00,1,KG_per_ha,
125792022,NNKG,2021,Speciallist beef with sheep,159.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,277.46,179.80,0.00,0.00,0.00,0.00,1.26,458.52,"6,708.00",0.00,0.00,0.00,232.20,0.00,0.00,0.00,0.00,0.00,"3,008.91",0.00,0.00,88.20,0.00,0.00,0.00,84.45,0.00,0.00,479.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"10,601.46",4.33%,63.43,188.90,892.60,1,Total_N_kg,
125792022,NKGH,2021,Speciallist beef with sheep,159.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.74,1.12,0.00,0.00,0.00,0.00,0.01,2.87,41.95,0.00,0.00,0.00,1.45,0.00,0.00,0.00,0.00,0.00,18.82,0.00,0.00,0.55,0.00,0.00,0.00,0.53,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.30,4.33%,63.43,188.90,892.60,1,KG_per_ha,
128992022,NNKG,2021,Specialist Cereals,205.20,"11,019.40",0.00,0.00,"6,184.77",972.00,0.00,0.00,0.00,0.00,0.00,"1,557.00",0.00,0.00,0.00,0.00,345.08,"2,147.79",0.00,0.00,0.00,0.00,0.15,"22,226.18","37,557.00",0.00,353.71,0.00,0.00,960.00,0.00,0.00,0.00,0.00,"1,584.79","3,615.24",0.00,63.00,0.00,0.00,"1,081.44",39.41,0.00,0.00,"1,231.20",366.62,0.00,0.00,216.66,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"47,069.26",47.22%,121.07,215.20,0.00,1,Total_N_kg,
128992022,NKGH,2021,Specialist Cereals,205.20,53.70,0.00,0.00,30.14,4.74,0.00,0.00,0.00,0.00,0.00,7.59,0.00,0.00,0.00,0.00,1.68,10.47,0.00,0.00,0.00,0.00,0.00,108.31,183.03,0.00,1.72,0.00,0.00,4.68,0.00,0.00,0.00,0.00,7.72,17.62,0.00,0.31,0.00,0.00,5.27,0.19,0.00,0.00,6.00,1.79,0.00,0.00,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,229.38,47.22%,121.07,215.20,0.00,1,KG_per_ha,
134412022,NNKG,2021,Speciallist beef with sheep,153.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,732.77,38.34,0.00,0.00,0.00,0.00,0.63,771.74,"11,508.00",0.00,0.00,0.00,163.73,0.00,0.00,0.00,0.00,0.00,"3,264.40",0.00,0.00,0.00,0.00,273.70,0.00,5.63,0.00,0.00,922.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"16,138.26",4.78%,99.91,161.40,33.60,1,Total_N_kg,
134412022,NKGH,2021,Speciallist beef with sheep,153.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.25,0.00,0.00,0.00,0.00,0.00,5.02,74.82,0.00,0.00,0.00,1.06,0.00,0.00,0.00,0.00,0.00,21.23,0.00,0.00,0.00,0.00,1.78,0.00,0.04,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104.93,4.78%,99.91,161.40,33.60,1,KG_per_ha,
135262022,NNKG,2021,Specialist Sheep,37.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.16,4.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,224.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,224.40,1.85%,5.89,152.70,425.80,1,Total_N_kg,"only output is wool, no sheep "
135262022,NKGH,2021,Specialist Sheep,37.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,1.85%,5.89,152.70,425.80,1,KG_per_ha,
117462022,NNKG,2021,General Cropping,240.68,"8,962.40","8,209.76","2,566.71",0.00,788.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,801.94,0.00,0.00,0.00,0.00,0.00,0.00,"21,329.75","38,280.00",0.00,0.00,0.00,0.00,0.00,705.50,0.00,0.00,0.00,105.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,444.08",250.71,198.20,3.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"40,987.64",52.04%,81.68,285.88,13.78,1,Total_N_kg,
117462022,NKGH,2021,General Cropping,240.68,37.24,34.11,10.66,0.00,3.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,88.62,159.05,0.00,0.00,0.00,0.00,0.00,2.93,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,1.04,0.82,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,170.30,52.04%,81.68,285.88,13.78,1,KG_per_ha,
114302022,NNKG,2021,Mixed Farms,91.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,231.48,0.00,0.00,0.00,0.00,0.00,231.48,"4,608.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,551.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,167.82",4.48%,53.75,83.54,6.96,1,Total_N_kg,
114302022,NKGH,2021,Mixed Farms,91.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.52,0.00,0.00,0.00,0.00,0.00,2.52,50.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.27,4.48%,53.75,83.54,6.96,1,KG_per_ha,
