fa_id,f_number,cf_accuracy,audit_full,type_audit,farmtype,fa_gent,fa_princt,fa_part,audit_year,carbon_other,de_d,de_e,de_of,de_re,de_rh,total_de,ie_fert,ie_lime,ie_feed,ie_bed,ie_pest,ie_wp,ie_refloss,ie_dc,ie_tr,total_ie,total_co2eu,me_ferm,me_manm,total_me,no_fert,no_mants,no_manm,no_orgmants,crop_nres,total_no,wf_co2,seqfor,netmlandu,total_wf_co2,total_lu_co2,total_ha_co2,farm_output_kg,averagessizeofbusiness,sumsox,o_tot,outp_ns,o_tgs,i_totnew,fbi,i_feed,i_fee_ho,qoffeedhomeproducedtonnes,i_ole,i_fert,labourx,i_mach,i_machd,landbc,newxmisc,outputinputratio,outputinputlesssubsratio,averagesizeoffarmhectares,aoc,aop,aosr,aocc,aofc,agr,noe,nrc,ndc,fis_d_oc,o_tc,o_tl,o_miscnew,omcat12,bullzz,dcow,ocat12,ofcat2,heifrr,omcat2,ocatt1,reacow,caveal,hefdar,chikks,fdeer,goatzz,henszz,opoult,tchick,booars,sowgil,piglet20,stopig,horsey,o_live,ewehlow,lamlow,oshlow,ramlow,ewelow,ewehill,lamhil,oshhil,ramhil,ewehil,dsecxx613,dseczz612,cropxp,livexp,otherxp,ys_year,fa_esu,fs_size,fa_orgpc,fa_cnw,fa_netp,fa_tccv,fa_tcov,fa_mcv,fa_mov,fa_int,fa_labu,fa_acv,fa_aov,fa_miout,fa_miouq,fa_vcexp,fa_tfcex,fa_glu,fa_outpt,fa_cinc,fa_crev,fa_lrev,fa_ifeed,fa_ifuel,i_lbc_rr,i_gross_rent,i_labour,ft_ten,fa_fbus,fa_aaua,co2e_peradjha,nuts2,lfasubx,lfabase,lfasupp,nsub_bps,nsub_bes,nsub_dtup,nsub_ssbeef,nsub_susheep,srdp1,srdp2,lmo,agri_eg,aid_scp,esa_g,supp_ad,supp_fa,fws_g,other_g,supp_q,othersub,ar_pil2,arg,aarg,afwl,aowl,lab_hrs_reg,year,an_code,crop_year,farm_type,total_area,noutput_barley,noutput_wheat,noutput_osr,noutput_oats_mc,noutput_straw,noutput_wholecrop,noutput_silage,noutput_hay,noutput_peas,noutput_beans,noutput_kale_turnips,noutput_sugar_beet,noutput_potatoes,noutput_veg,noutput_fruit,noutput_cattle_meat,noutput_sheep_meat,noutput_pig_meat,noutput_poultry_meat,noutput_eggs,noutput_milk,noutput_wool,noutput_total,ninput_fert,ninput_liqn,ninput_cereals,ninput_wholecrop,ninput_straw,ninput_hay,ninput_silage_grass,ninput_silage_maize,ninput_high_energy_concs,ninput_low_energy_concs,ninput_medium_energy_concs,ninput_soybeans,ninput_soya_oilcake,ninput_potatoes_veg,ninput_rapecake,ninput_draff,ninput_beetpulp,ninput_milkpowder,ninput_peas,ninput_beans,ninput_atmos_n,ninput_seed_barley,ninput_seed_wheat,ninput_seed_osr,ninput_seed_oats,ninput_seed_wholecrop,ninput_seed_peas,ninput_seed_beans,ninput_seed_kale_turnips,ninput_seed_sugar_beet,ninput_seed_pots,ninput_bedding,ninput_fym,ninput_composted,ninput_mixed_slurry,ninput_solid_poultry,ninput_total,nue,farm_n_surplus,total_adjusted_hectare,rough_grazing,variable,organiccode,comment,noutput_total_kgha,ninput_total_kgha,farm_n_surplus_kgha,grazingandforageharvestedcro,cereals,oilseeds,legumespeasandbeans,potatoes,beetandrootveg,totalcropoutput,netbalancesoldbeefkgdwt,netbalancesoldlambkgdwt,dairycattlenetbalancesoldk,pork,poultry,kgwool,fpcmilksaleskg,totallive,farmtotatal,live,column1,_merge
110742020,11074,Average,2,0,Cereal,1 - Specialist field crops,"15 - Specialist cereals, oilseeds and protein crops","151 - Specialist cereals (not rice), oilseeds and protein crops",.,0,98287,13928,53933,0,0,166147,434068,217722,0,0,683,0,0,0,0,652473,818621,0,0,0,0,297206,0,0,62853,360059,1178679,0,1178679,.46000001,0,4183,2531000,2.3936999,284892.63,416822,354297,62525,372205,46100,0,0,0,0,67716,53514,59109,59411,49114,28131,1.1202199,.95717001,281.81,244.59,0,0,0,3,34.220001,0,0,0,0,314692,0,39605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,122926,0,249279,2020,122.14,9,1,627698,48184,214311,160001,256829,280721,4766,2,800842,839271,0,0,176440,230942,0,416822,53079,246933,0,0,36184,43018,38167,53514,2,2,281.81,4182.5298,UKM7,0,0,0,62525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5748,2020,NNKG,2019,Specialist Cereals,278.81,19111.4,17569.76,0,0,3035.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39716.5,48726.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1672.86,552.6900000000001,402.48,0,0,0,0,0,0,0,0,0,0,0,0,0,51354.93000000001,.7734,41.7432,281.81,0,Total_N_kg,1,,142.4501,184.1933,41.7432,0,2531000,0,0,0,0,2531000,0,0,0,0,0,0,0,0,2531000,0,,Matched (3)
110882020,11088,Average,2,0,SDA Sheep & Cattle,4 - Specialist grazing livestock,"48 - Sheep, goats and other grazing livestock",482 - Sheep and cattle combined,.,0,33216,1593,6266,0,0,41074,14835,30791,24620,7592,0,0,0,804,0,78643,119717,356025,9763,365788,0,5378,0,114922,5062,125362,610866,193080,417787,27.58,4922,2810,22141,3.1937001,115287.44,132317,50796,81521,92679,39638,12318,0,0,11242,6215,286,15243,21103,17870,7665,1.42769,.54808998,607.07001,0,0,0,0,0,173.11,480.5,33.5,0,77.099998,500,48715,1581,13.6,2,0,18.1,0,6,0,37.400002,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,131.5,243.3,1.6,10,480.5,,,6952,23560,62167,2020,25.98,7,1,877898,45353,98725,107326,93477,111827,0,1,889226,847014,0,0,30798,86265,126.68,132307,74029,0,60410,12318,8167,10679,9119,286,4,2,217.41,2809.74,UKM9,12914,12914,0,56662,0,0,3606,0,0,1533,0,0,0,0,0,0,0,0,0,0,6806,433.95999,44.299999,8.6400003,9.0900002,2496,2020,NNKG,2019,Mixed Cattle and Sheep,190.8400000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.1996,187.051275,0,0,0,0,.86,590.1108750000001,972,0,0,0,184.68,0,0,0,0,0,1071.16,0,0,0,0,0,0,0,0,0,1145.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3372.88,.175,14.5817,217.41,433.96,Total_N_kg,1,,3.092169644728567,17.6739,14.5817,0,0,0,0,0,0,0,13112.2,8743.5,0,0,0,285.4,0,22141.1,22141.1,1,Drystock,Matched (3)
111492020,11149,Average,2,0,SDA Specialist Sheep,4 - Specialist grazing livestock,"48 - Sheep, goats and other grazing livestock",481 - Specialist sheep,.,0,6004,2329,12455,0,0,20787,12300,43722,30806,0,0,0,0,877,0,87705,108492,498269,12984,511253,0,8699,0,156288,3568,168555,788300,194931,593369,32.470001,3877,3536,24271,5.9057999,124667.46,157832,96797,61035,104237,71180,9706,0,0,16227,4576,1266,12665,9440,37626,11870,1.6607701,1.09418,1324,0,0,0,0,0,100.6,1157.5,22,0,64,4992,90508,1297,7.9000001,1.5,0,24.200001,3.5,6.0999999,0,20.799999,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,305,680.29999,3.9000001,73.5,1157.5,,,5437,25933,72867,2020,38.790001,7,1,860644,65879,186710,167663,44748,49118,0,2,911784,834138,0,0,32636,102610,215.99001,157832,42884,5000,90018,9706,8122,18547,16450,1266,4,1,222.94,3535.9299,UKM9,16638,16638,0,42295,0,0,2102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1223.4,122.34,0,17.9,4176,2020,NNKG,2019,Specialist Sheep LFA,118.5000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.89110000000001,430.57737,0,0,0,0,6.5,513.96847,1680,0,0,0,0,0,0,0,0,0,1325.78,0,0,0,0,0,0,5.63,0,0,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3722.41,.1381,27.0754,222.94,1223.4,Total_N_kg,1,,4.337334345991553,31.4127,27.0754,0,0,0,0,0,0,0,2035.2,20070.9,0,0,0,2165,0,24271.1,24271.1,1,Drystock,Matched (3)
111742020,11174,Average,2,0,SDA Sheep & Cattle,4 - Specialist grazing livestock,"48 - Sheep, goats and other grazing livestock",482 - Sheep and cattle combined,.,0,29727,1233,4027,0,0,34987,21722,0,43488,6238,0,0,0,528,0,71976,106963,340201,9222,349423,0,6750,0,112605,6277,125632,582018,16335,565683,12.05,4866,3279,48289,2.8831999,113116.29,155317,107282,48035,111893,43425,13602,0,0,14439,6085,18082,19683,8605,16759,11387,1.38809,.95879,177.5,0,0,0,0,0,177.5,391,46,0,76.900002,3830,101212,2240,9,2,0,17.4,.1,5.5,0,42.900002,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,381.10001,7.3000002,9.5,391,,,9336,28041,74516,2020,24.75,7,1,941016,48927,117738,141915,37540,45950,522,2,943877,967724,0,0,39957,113012,124.67,155111,76514,1390,122612,13602,8292,1944,0,18030,1,2,177.5,3278.97,UKM9,6233,6233,0,37395,0,0,4407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,4500,2020,NNKG,2019,Mixed Cattle and Sheep,179,0,0,0,0,0,0,0,261.65,0,0,0,0,0,0,0,360.32975,381.63636,0,0,0,0,5.25,1008.86611,1116,0,0,0,151.74,0,0,0,0,0,1892.09,0,0,0,0,0,0,0,0,0,1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4233.83,.2383,18.0165,177.5,0,Total_N_kg,1,,5.636062067039107,23.6526,18.0165,16352.94117647059,0,0,0,0,0,16352.94117647059,12269.5,17917.2,0,0,0,1749,0,31935.7,48288.64117647058,.6613501482324001,,Matched (3)
112492020,11249,All Estimated,2,0,Lowland Cattle & Sheep,4 - Specialist grazing livestock,46 - Specialist cattle - rearing and fattening,460 - Specialist cattle - rearing and fattening,.,0,11672,1728,64,0,0,13464,15190,0,5523,3330,25,0,0,80,0,24147,37611,52832,1327,54159,0,10499,0,17644,4469,32612,124382,10890,113492,.50999999,7001,2737,241587,.59420002,35893.75,32790,25111,7679,37563,-4773,7142,3750,25,3564,2637,7885,4878,717,2730,6809,.87292999,.66850001,45.5,7.6799998,.41,0,0,.81,35.540001,76,0,0,15.8,15904,7396,1811,9.3999996,0,0,0,0,0,0,6.4000001,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,18.5,48,0,0,76,0,0,0,0,0,,,3838,10706,23019,2020,8.4399996,5,1,437315,-3114,26923,30854,3307,3212,0,1.1900001,437547,454033,0,0,22429,49457,21.76,32790,1247,11248,21965,7142,2383,1752,0,7885,1,2,45.439999,2737.28,UKM7,0,0,0,7679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0599999,1,0,1,2564,2020,NNKG,2019,Cattle and Sheep (Lowland),45.43999999999999,595,0,0,0,226.8,0,0,2923.02,0,0,65.61,0,32.48,0,0,142.8867,34.90857,0,0,15.89652,0,.41,4037.01179,1760,0,0,0,81,0,0,0,157.64,0,131.48,0,0,13.44,0,0,0,1.69,0,0,272.64,26.76,0,0,0,0,0,0,.01,0,3.57,0,0,0,0,0,2448.23,1.649,-34.9643,45.44,1.06,Total_N_kg,1,182t hay sold,88.84268340669014,53.87840000000001,-34.9643,182688.8888888889,42000,0,0,11200,0,235888.8888888889,3074,1638.9,0,0,-5.300000000000001,138,0,4845.6,240734.4888888889,.0201283996421322,,Matched (3)
113322020,11332,Average,2,0,SDA Cattle,4 - Specialist grazing livestock,46 - Specialist cattle - rearing and fattening,460 - Specialist cattle - rearing and fattening,.,0,17593,5591,5040,0,0,28224,47918,0,31985,0,0,0,0,531,0,80435,108659,240101,6692,246793,0,33885,0,80348,3516,117749,473202,40293,432909,19.16,5540,8635,24694,1.8968,56102.871,79014,60233,18781,55043,23971,8891,0,0,7447,7145,0,11970,5300,9168,3052,1.4355,1.09429,58.099998,0,0,0,0,0,54.299999,170,43,0,61.099998,2094,55655,2484,6.5,3.5,0,6,0,5,0,40.099998,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.39999,71.800003,5.5,170,,,9215,16338,29490,2020,18.51,7,1,799584,29665,95579,104786,27374,32207,0,1,805219,789681,0,0,25553,62735,91.480003,79014,40296,0,68600,8891,5865,1874,0,0,1,2,54.799999,8635.0703,UKM9,1986,1986,0,12789,0,0,4006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,.5,0,3.7,3276,2020,NNKG,2019,Specialist Beef with Sheep,58.00000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534.268625,134.391285,0,0,0,0,1.76,670.4199100000001,5934,0,0,0,0,0,0,0,0,0,1391.63,0,0,0,0,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7673.63,.0874,120.745,54.8,3.8,Total_N_kg,1,,11.55891913793103,132.3039,120.745,0,0,0,0,0,0,0,17906.05,6201.45,0,0,0,587,0,24694.5,24694.5,1,Drystock,Matched (3)
113372020,11337,Average,2,0,General Cropping,1 - Specialist field crops,16 - General field cropping,166 - Various field crops combined,.,0,65402,5978,21458,0,0,92839,452376,0,0,0,432,0,0,0,0,452807,545646,0,0,0,0,378919,0,0,41012,419931,965577,18513,947064,.52999997,22854,4642,1799538,2.6663001,334286.81,272144,230039,42105,222381,48938,0,0,0,0,36879,19680,46302,24463,40921,11839,1.21185,1.02958,208.02,128.03,12.84,23.450001,0,4.98,38.720001,0,0,0,65,212089,0,17950,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,79176,0,143205,2020,109.49,9,1,3066337,63663,108687,102589,117076,112299,287,1.8200001,3776901,3819322,0,0,80081,187414,42.25,272144,67557,206159,0,0,17329,2342,0,19680,1,1,208.02,4641.75,UKM9,0,0,0,42105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,3775,2020,NNKG,2019,General Cropping,191.9,4379.2,19836.96,1777.5,0,2743.2,0,0,83.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28820.67,62679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151.4,94.65000000000001,472.07,2.78,0,0,0,0,0,0,0,0,0,0,0,0,64399.9,.4475,185.4052,208.02,0,Total_N_kg,1,,150.1857,335.5909,185.4052,5238.095238095239,1719300,75000,0,0,0,1799538.095238095,0,0,0,0,0,0,0,0,1799538.095238095,0,,Matched (3)
113812020,11381,Average,2,0,SDA Cattle,4 - Specialist grazing livestock,46 - Specialist cattle - rearing and fattening,460 - Specialist cattle - rearing and fattening,.,0,18486,1288,3029,0,0,22802,80168,0,44130,0,56,0,0,56,0,124409,147211,267018,7573,274591,0,61963,0,86806,171385,320154,741956,32670,709286,11.99,9122,14839,61870,1.5763,72490.039,99326,81636,17690,85167,16636,15732,12788,92.599998,8808,12749,0,7930,17014,6770,10643,1.1937701,.98773998,51.099998,20,0,0,0,0,28.9,0,57.5,0,82.400002,18686,59900,3050,16.700001,5,0,11.2,0,0,0,49.5,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,18270,24540,42357,2020,29.389999,7,1,1010033,18103,113271,105815,74733,91009,0,2.3099999,1010469,997532,0,0,42810,101608,77.900002,99317,27652,1812,54180,15732,4837,3095,0,0,1,2,50,14839.12,UKM7,1123,1123,0,11361,0,0,5206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,1.1,0,3,5000,2020,NNKG,2019,Specialist Beef with Sheep,51.89999999999999,1679.6,0,0,0,19.77,0,211.93,0,0,0,0,0,0,0,0,354.6189515,0,0,0,0,0,0,2265.9189515,10782,0,0,720,0,0,0,0,0,0,27.66,0,0,0,0,0,143.71,0,0,0,311.4,69.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12054.47,.188,188.6042,50.00000000000001,2.2,Total_N_kg,1,,43.65923509633911,232.2634,188.6042,24933.33333333333,24861.53846153846,0,0,0,0,49794.8717948718,12075.043,0,0,0,0,0,0,12075.043,61869.9147948718,.1951682500296713,,Matched (3)
113842020,11384,Average,2,0,Cereal,1 - Specialist field crops,"15 - Specialist cereals, oilseeds and protein crops","151 - Specialist cereals (not rice), oilseeds and protein crops",.,0,17079,7868,2330,0,0,27278,85997,0,0,0,147,0,0,0,0,86143,113421,0,0,0,0,66155,0,0,10046,76202,189623,28314,161309,.44,0,2266,425520,.6595,61094.648,96615,78696,17919,85207,39167,0,0,0,0,12366,0,12511,19743,8523,20659,1.45385,1.24621,83.699997,52.599998,0,0,0,3.0999999,28,0,0,0,0,49339,0,29357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,23771,0,61436,2020,25.360001,7,1,683247,17427,9212,7298,94389,89387,10189,1,983988,963581,0,0,23771,80730,0,96615,33455,48903,0,0,6559,2632,0,0,1,2,83.699997,2265.51,UKM7,0,0,0,17919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5999999,0,2100,2020,NNKG,2019,Specialist Cereals,83.19999999999999,4216,0,0,0,534.6,0,0,1256.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6006.92,11196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499.2,183.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11878.51,.5057,70.5719,83.69999999999999,0,Total_N_kg,1,,72.1986,142.7705,70.5719,78520,347000,0,0,0,0,425520,0,0,0,0,0,0,0,0,425520,0,,Matched (3)
114072020,11407,Average,2,0,SDA Specialist Sheep,4 - Specialist grazing livestock,"48 - Sheep, goats and other grazing livestock",481 - Specialist sheep,.,0,12415,1436,1619,0,0,15470,2712,0,31541,0,0,0,0,375,0,34629,50099,152346,3713,156059,0,1856,0,44703,1316,47875,254033,23958,230075,24.09,3778,3703,10545,2.2679,35405.801,59975,31627,28348,52617,11158,12515,0,0,9630,990,1199,7535,7592,5078,8078,1.21206,.67330003,577.90002,0,0,0,0,0,12,558,0,0,0,440,29859,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,133,276.79999,0,11,558,,,990,22145,29482,2020,13.54,6,1,866017,8664,57845,54285,33012,32797,0,1,870629,838357,0,0,24334,57141,72.980003,59975,12696,0,32734,12515,3357,1571,0,1199,1,1,68.599998,3703.1001,UKM9,8031,8031,0,20317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565.90002,56.599998,0,2.2,2408,2020,NNKG,2019,Specialist Sheep LFA,14.20000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.78974,0,0,0,0,4.58,204.36974,360,0,0,0,0,0,0,0,0,0,1372.31,0,0,0,0,0,0,0,0,0,85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1817.51,.1124,113.6014,68.59999999999999,565.9,Total_N_kg,1,,14.39219999999996,127.9936,113.6014,0,0,0,0,0,0,0,0,9019.799999999999,0,0,0,1525,0,10544.8,10544.8,1,Drystock,Matched (3)
