"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"1.cluster",1,13,1,0,1,1,0,1,1,0,NA,NA,0
"1.n_cattle",2,13,0.554477015440781,0.327923869518179,0.597636848434151,0.557409410113715,0.450226859728618,0.0766976894792838,1,0.923302310520716,0.0709578824932401,-1.58308863836851,0.0909497173843351
"1.n_sheep",3,13,0.0502498875697881,0.0859216112381603,0.0120015512717174,0.034047391914101,0.0177934999154482,0,0.278727227352134,0.278727227352134,1.597381611481,1.25875625467886,0.0238303673068977
"1.n_milk",4,13,0,0,0,0,0,0,0,0,NA,NA,0
"1.n_wholecrop",5,13,0,0,0,0,0,0,0,0,NA,NA,0
"1.nue_p",6,13,15.7084615384615,12.9100134560696,12.27,14.4290909090909,10.348548,3.04,42.45,39.41,0.976581730202303,-0.350639432635033,3.58059349867607
"1.nsurplus_p_ha",7,13,266.976039256242,190.957202825896,206.002331002331,243.203882969412,99.609917562855,38.698224852071,756.747572815534,718.049347963463,1.23434246716997,0.749943153061708,52.9619989390726
"2.cluster",1,14,2,0,2,2,0,2,2,0,NA,NA,0
"2.n_cattle",2,14,0.148558353490661,0.105919618631691,0.14050881920353,0.144805670194949,0.108645722672141,0,0.342148906529863,0.342148906529863,0.315513896070506,-1.16733314042273,0.0283082088183962
"2.n_sheep",3,14,0.0397327015962771,0.0452004320344438,0.0173694608230092,0.0356546442830331,0.0257519626161934,0,0.128402090951481,0.128402090951481,0.680216126223073,-1.09184690469278,0.0120803236005036
"2.n_milk",4,14,0.233687065603227,0.330767375237774,0,0.205867252896589,0,0,0.801211883686111,0.801211883686111,0.62590470578312,-1.59304199329987,0.0884012994901604
"2.n_wholecrop",5,14,0,0,0,0,0,0,0,0,NA,NA,0
"2.nue_p",6,14,44.85,41.9818717287135,36.01,37.9066666666667,27.976662,8.12,164.9,156.78,1.60974089642042,2.04240875829103,11.2201271760241
"2.nsurplus_p_ha",7,14,78.123121048856,110.410885626875,48.0299404755283,66.4790945107809,35.9164646727505,-76.9366197183099,372.911180272923,449.847799991233,1.40347008644347,1.39156941175914,29.5085504132892
"3.cluster",1,60,3,0,3,3,0,3,3,0,NA,NA,0
"3.n_cattle",2,58,0.462302808683374,0.253593843439278,0.455970857398826,0.457788087931419,0.285415873802159,0,1,1,0.144123450917352,-0.836833448193705,0.0332985029771985
"3.n_sheep",3,58,0.199412999892049,0.192142854621754,0.115816565485942,0.175266429805946,0.171709639989458,0,0.809146022004341,0.809146022004341,1.05661477192141,0.586156863203566,0.0252295928398667
"3.n_milk",4,58,0,0,0,0,0,0,0,0,NA,NA,0
"3.n_wholecrop",5,58,0,0,0,0,0,0,0,0,NA,NA,0
"3.nue_p",6,58,16.6965517241379,13.7784699264767,12.805,14.625625,9.837051,1.8,68.84,67.04,1.58879610275436,2.6154315773109,1.80920173631061
"3.nsurplus_p_ha",7,58,52.4035382171319,44.0591137811532,36.7981137268099,44.9545640176119,27.2423807242169,3.45844504021448,208.31067961165,204.852234571436,1.70882567606003,2.6506077943173,5.78524506556387
"4.cluster",1,57,4,0,4,4,0,4,4,0,NA,NA,0
"4.n_cattle",2,51,0.328939496035547,0.278976411411268,0.300183475718135,0.30575357746695,0.334220039840791,0,1,1,0.480545372491906,-0.616194024892724,0.0390645112812803
"4.n_sheep",3,51,0.516213401913578,0.306996777875386,0.487958503149315,0.516643609357397,0.325648137498403,0,0.998715762437104,0.998715762437104,0.159138890675289,-1.13495000488081,0.0429881473919674
"4.n_milk",4,51,0,0,0,0,0,0,0,0,NA,NA,0
"4.n_wholecrop",5,51,0,0,0,0,0,0,0,0,NA,NA,0
"4.nue_p",6,51,14.3750980392157,12.3527304467553,9.4,11.8919512195122,6.538266,2.44,52.74,50.3,1.78721056235899,2.59577951023439,1.72972824279579
"4.nsurplus_p_ha",7,51,76.2073860338285,294.941453219881,20.5464297686892,25.1889570192796,17.4300029814262,1.93764749720532,2105.19885625162,2103.26120875442,6.39261147843156,40.930360983958,41.3000642898078
"5.cluster",1,63,5,0,5,5,0,5,5,0,NA,NA,0
"5.n_cattle",2,60,0.480139653296924,0.255652012359904,0.435275783125217,0.458434047896658,0.248030342024289,0.124879181736791,1,0.875120818263209,0.645806916349045,-0.74088299456771,0.0330045328764773
"5.n_sheep",3,60,0.134065376764432,0.166772587681153,0.070155543365428,0.101209724135383,0.104012608593584,0,0.727848439028729,0.727848439028729,1.57604985765539,2.01954679905296,0.0215302484897674
"5.n_milk",4,60,0.0111838427510171,0.0866296734425832,0,0,0,0,0.671030565061024,0.671030565061024,7.36297167262321,53.0991666666667,0.0111838427510171
"5.n_wholecrop",5,60,0,0,0,0,0,0,0,0,NA,NA,0
"5.nue_p",6,60,17.143,13.0710709558247,13.65,15.105,9.985311,2.55,72.95,70.4,1.74215833875458,4.06147597729291,1.68746800430015
"5.nsurplus_p_ha",7,60,93.1722379058529,93.2614381278594,68.1666368439143,77.392122147111,42.6005115162389,9.71482000935016,657.469512195122,647.754692185772,3.94071310830244,20.0990529790467,12.0399998904184
