"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"cluster",1,207,3.69082125603865,1.1579454528513,4,3.81437125748503,1.4826,1,5,4,-0.61509052587087,-0.325819592223314,0.0804827725371142
"fa_aaua",2,207,195.957536231884,146.021394283716,155.95,170.423233532934,101.92875,32.8,758.9,726.1,1.58475821217093,2.22212884650559,10.1491884896221
"op_ha",3,207,-122.969726420973,336.903249655616,-65.8943894389439,-83.9620729580229,256.782554492459,-1690.24390243902,872.111292962357,2562.35519540138,-1.63275192591499,4.84624886649271,23.4163945652884
"vc_ha",4,207,454.09980216795,321.676705606859,409.622721492158,411.198332561744,204.112276357957,35,2912.39616613419,2877.39616613419,3.11947129197287,17.2468384203081,22.3580765951414
"gm_ha",5,207,674.613947586933,334.240172622164,620.34904860017,641.368505312276,244.906858774073,-70.5339805825243,1926.77371597768,1997.3076965602,1.18286291150268,2.11203869654007,23.2312979162154
"nm_ha",6,207,-192.707261669095,318.137575944914,-137,-155.513589043687,247.639888751926,-1688.37378640777,686.153846153846,2374.52763256161,-1.65131679595377,4.90454023599544,22.1120900792306
"fbi_ha",7,207,109.69803939283,219.709466572142,113.271572260455,108.726722125902,174.719026353587,-939.368932038835,933.502454991817,1872.87138703065,-0.521141804471906,4.66642373298608,15.2708635616942
"slr_ha",8,207,0.0226512996384992,0.00812218755987503,0.0217161351678861,0.0220890476084788,0.00704996984928413,0.0065749354005168,0.0552203621455415,0.0486454267450247,0.889593704300984,1.48600597326007,0.000564531059969668
"sck_glu",9,207,0.409537540971083,0.263444881936663,0.445278969957082,0.40869521276717,0.287580024942139,0,1.11111111111111,1.11111111111111,-0.0844856319853203,-0.956930889573069,0.0183106850644529
"sd_glu",10,207,1.02522420134028,0.427713179898509,0.982899399168079,0.991473780314555,0.365136265532335,0.245921846315237,2.74101969872538,2.49509785241014,1.03181832577246,1.93187466079459,0.0297281210303419
"sd_dc",11,207,0.0152481336780513,0.096210933990472,0,0,0,0,0.851063829787234,0.851063829787234,6.82155717556835,48.1853160760888,0.00668712217563572
"lspec",12,207,0.970390765268594,0.0721453018735567,1,0.988680889599372,0,0.466249176005274,1,0.533750823994726,-3.86825174602774,17.8369882632253,0.00501444511571182
"feed_lu",13,207,191.768391715162,105.600964802455,173.859386686612,181.521871712874,83.4589714226818,12.9988331388565,809.328193136573,796.329359997717,1.78241340671169,6.36088518232611,7.33977443321525
"homefeed_per",14,207,0.146226741597361,0.228738057489893,0,0.104007196037528,0,0,0.893917963224894,0.893917963224894,1.28829705572582,0.320457648734056,0.0158983940100195
"cspec",15,207,0.0296092347314059,0.0721453018735567,0,0.0113191104006284,0,0,0.533750823994726,0.533750823994726,3.86825174602774,17.8369882632253,0.00501444511571182
"ifert_ha",16,207,79.5283837343058,56.27996139916,74.3571657582559,75.2329494442805,61.7753913480147,0,290.627491174126,290.627491174126,0.741990982969983,0.591288974438152,3.91172772476688
"arable_ha",17,207,0.0585623263645091,0.101706757236676,0,0.0369129934316682,0,0,0.718849840255591,0.718849840255591,2.50921262043867,9.07029636635668,0.00706910829695019
"fodder_ha",18,207,0.014364703862053,0.0319461718221728,0,0.00709583853334756,0,0,0.274140752864157,0.274140752864157,3.96910012187683,23.0420851066241,0.00222041243295567
