"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"1.cluster",1,10,1,0,1,1,0,1,1,0,NA,NA,0
"1.n_cattle",2,10,0.15821274773527,0.101439305420328,0.14050881920353,0.154997321352854,0.0713927164613395,0,0.342148906529863,0.342148906529863,0.369004422119947,-1.02411638482147,0.03207792493937
"1.n_sheep",3,10,0.0445926056263194,0.0495515522177994,0.0322473520944361,0.0396904956639641,0.0478099242152109,0,0.128402090951481,0.128402090951481,0.491780757013724,-1.48734141140961,0.0156695766605014
"1.n_milk",4,10,0.327161891844517,0.35221169847007,0.267888415535379,0.308800879344883,0.397171364872753,0,0.801211883686111,0.801211883686111,0.107333189419849,-2.0446693265867,0.111379118572186
"1.n_wholecrop",5,10,0,0,0,0,0,0,0,0,NA,NA,0
"1.nue_p",6,10,34.957,26.2311363120667,26.28,30.97,21.549591,8.12,93.69,85.57,0.943306247668313,-0.221885405607514,8.295013636048
"1.nsurplus_p_ha",7,10,69.7166270272217,70.6099473863128,48.0299404755283,54.7255526698498,34.3862595281521,5.51569506726457,253.846153846154,248.330458778889,1.63960025570884,1.74285869742564,22.3288259205402
"2.cluster",1,22,2,0,2,2,0,2,2,0,NA,NA,0
"2.n_cattle",2,22,0.548754164728336,0.2455852400831,0.493733795487847,0.541133151081914,0.228115837542206,0.156501553452902,1,0.843498446547098,0.313426751202813,-0.993625045479185,0.0523589491120816
"2.n_sheep",3,22,0.109190540909515,0.136244578130253,0.0546105572606634,0.086182321845173,0.0809656121946596,0,0.555136823521423,0.555136823521423,1.59185529831209,2.60631167938917,0.0290474416569378
"2.n_milk",4,22,0,0,0,0,0,0,0,0,NA,NA,0
"2.n_wholecrop",5,22,0,0,0,0,0,0,0,0,NA,NA,0
"2.nue_p",6,22,12.4622727272727,6.61085682208274,11.09,11.8888888888889,7.361109,4.29,29.81,25.52,0.748969954644943,-0.17777106907008,1.40943941019241
"2.nsurplus_p_ha",7,22,188.557588045506,163.217771020818,132.029299216845,162.900759175877,119.501380877377,24.7040441176471,657.469512195122,632.765468077475,1.30298886586102,1.06303041048582,34.7981457036044
"3.cluster",1,52,3,0,3,3,0,3,3,0,NA,NA,0
"3.n_cattle",2,48,0.45090794800082,0.27417436082405,0.466242289818692,0.447269491875414,0.30390519724107,0,1,1,0.0655680922204319,-0.907362752579702,0.0395736602566648
"3.n_sheep",3,48,0.311809440132352,0.237241053176937,0.282763784203217,0.291706145326024,0.254213499005322,0,0.977589665802221,0.977589665802221,0.723796744970422,0.00600780283985758,0.0342427964786338
"3.n_milk",4,48,0,0,0,0,0,0,0,0,NA,NA,0
"3.n_wholecrop",5,48,0,0,0,0,0,0,0,0,NA,NA,0
"3.nue_p",6,48,13.9891666666667,11.0623039871243,9.635,12.4565,7.012698,1.8,49.76,47.96,1.30338021729384,1.17048069002343,1.59670604620592
"3.nsurplus_p_ha",7,48,92.7252782899741,302.029445257671,32.3114717054712,40.1068310575857,27.0272557452884,10.1521126760563,2105.19885625162,2095.04674357557,6.16831170857248,38.078875012405,43.5941953806775
"4.cluster",1,66,4,0,4,4,0,4,4,0,NA,NA,0
"4.n_cattle",2,63,0.471641903811506,0.265899292136201,0.440309475936835,0.449232670213608,0.280673417342974,0.112908121570611,1,0.887091878429389,0.690494564532943,-0.704418947402686,0.0335001619419286
"4.n_sheep",3,63,0.125233464072102,0.158343243553657,0.0613845974238238,0.0977348400733665,0.0910088041405612,0,0.727848439028729,0.727848439028729,1.54646378971151,2.11294774469519,0.0199493735347766
"4.n_milk",4,63,0.0106512788104924,0.0845419046321246,0,0,0,0,0.671030565061024,0.671030565061024,7.56328908423755,56.0944822373394,0.0106512788104924
"4.n_wholecrop",5,63,0,0,0,0,0,0,0,0,NA,NA,0
"4.nue_p",6,63,18.1665079365079,13.945685442011,14.83,16.1523529411765,12.616926,2.33,68.84,66.51,1.36565770069762,1.81296223455053,1.75699121628071
"4.nsurplus_p_ha",7,63,65.770132585329,45.3131235616223,49.1617647058824,59.4085525079723,33.677318176414,3.45844504021448,208.31067961165,204.852234571436,1.24027511998172,1.02241812263733,5.70891695579019
"5.cluster",1,35,5,0,5,5,0,5,5,0,NA,NA,0
"5.n_cattle",2,31,0.260847046118782,0.240977559802952,0.24229619294399,0.239503287435697,0.35922833565876,0,0.726616002049355,0.726616002049355,0.375857003503652,-1.14308129194073,0.0432808474100844
"5.n_sheep",3,31,0.619906419723958,0.290073969546351,0.640166325327375,0.631187016122328,0.443614686716243,0.0645100149598251,0.998715762437104,0.934205747477279,-0.109613437520767,-1.30269423266665,0.052098822910478
"5.n_milk",4,31,0,0,0,0,0,0,0,0,NA,NA,0
"5.n_wholecrop",5,31,0,0,0,0,0,0,0,0,NA,NA,0
"5.nue_p",6,31,15.0561290322581,12.6930744049447,10.48,12.3552,5.544924,2.44,52.74,50.3,1.84034006392944,2.62921292595232,2.27974346214842
"5.nsurplus_p_ha",7,31,23.6519035608827,27.3222019765273,12.5662414131501,17.8609937097383,12.8113690599809,1.93764749720532,129.530386740331,127.592739243126,2.29929959705123,5.48574155139477,4.90721233803073
