"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"1.cluster",1,52,1,0,1,1,0,1,1,0,NA,NA,0
"1.fa_aaua",2,52,190.509423076923,125.965718374258,154.495,173.064285714286,88.2147,42.5,701.69,659.19,1.71323098951462,3.81608380444121,17.4683021749633
"1.op_ha",3,52,-128.239335719527,279.597512061034,-98.3519529956968,-89.4040884401168,192.553731386261,-1230.60416666667,231.040598290598,1461.64476495727,-2.06596984967493,5.76861312038077,38.7731987010853
"1.vc_ha",4,52,323.31320128736,106.714965840555,329.592993051497,323.823716640938,104.958586675133,99.8976109215017,621.191526919682,521.293915998181,0.147101571892601,-0.0455773130333688,14.7987031229811
"1.gm_ha",5,52,561.603598029048,168.464964759107,551.72498815174,548.97625319752,115.276721481505,198.4793345464,1075.00823723229,876.52890268589,0.795197888405134,1.38210687619497,23.3618872522382
"1.nm_ha",6,52,-197.053102320708,278.755329186295,-141.167120258547,-155.683315077892,187.711173754934,-1298.62849533955,145.320512820513,1443.94900816006,-2.09062610941656,5.57581554042761,38.6564089496166
"1.fbi_ha",7,52,81.9116661246955,188.448479485386,118.777466525615,100.751763094985,137.714743838665,-926.817576564581,319.278729703059,1246.09630626764,-2.89068336309914,13.1773298009335,26.1331021372224
"1.slr_ha",8,52,0.0200138444176729,0.00559749155677729,0.018627412865988,0.0195948134111964,0.00503530760171783,0.0120509490509491,0.0330597667638484,0.0210088177128993,0.629470596325418,-0.604778776852428,0.000776232416228357
"1.sck_glu",9,52,0.406495367207536,0.239031917270861,0.411911345073265,0.406795885970521,0.226077857102948,0,0.927988121752041,0.927988121752041,-0.0750627871290894,-0.731666347132736,0.0331477628535599
"1.sd_glu",10,52,0.808614669674554,0.16886008915144,0.771829197729231,0.802930452589083,0.182460771152399,0.538261738261738,1.21555555555556,0.677293817293817,0.285125976482898,-0.90395238225321,0.0234166811467284
"1.sd_dc",11,52,0,0,0,0,0,0,0,0,NA,NA,0
"1.lspec",12,52,0.958787123571402,0.0978361890270941,1,0.983664478608819,0,0.466249176005274,1,0.533750823994726,-3.19010767948264,11.2315268283401,0.0135674383128144
"1.feed_lu",13,52,178.552364157981,96.3834604279313,159.930816396942,170.926628719618,69.2502826448039,12.9988331388565,522.49502322495,509.496190086094,1.12722987787494,2.10794839569231,13.36598110306
"1.homefeed_per",14,52,0.113029834595379,0.222080082979208,0,0.0658318636003402,0,0,0.695140553497494,0.695140553497494,1.60317440463419,0.835556215754578,0.0307969664015705
"1.cspec",15,52,0.0412128764285983,0.0978361890270941,0,0.0163355213911811,0,0,0.533750823994726,0.533750823994726,3.19010767948264,11.2315268283401,0.0135674383128144
"1.ifert_ha",16,52,51.8474316631059,24.6562233323745,53.1432200181201,52.0655277167498,26.471686280605,0,101.012903225806,101.012903225806,-0.0724974592684472,-0.621484866520992,3.41920298016031
"1.arable_ha",17,52,0.0275100885032685,0.0537965717645191,0,0.0143040065840876,0,0,0.200448765893792,0.200448765893792,1.85292605253532,2.12576983130702,0.00746024222850584
"1.fodder_ha",18,52,0.00716811885910922,0.0183227585854169,0,0.0020672637701061,0,0,0.0879326792041428,0.0879326792041428,2.87552429956608,7.87148799941451,0.00254090944567956
"1.grass_ha",19,52,0.723533963751676,0.240302993500722,0.784891127909958,0.752547940766068,0.220160537230149,0.0421107356381596,1,0.95788926436184,-0.950501659744408,0.127345924371858,0.0333240294120901
