"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"1.cluster",1,4,1,0,1,1,0,1,1,0,NA,NA,0
"1.fa_aaua",2,4,138.8975,118.353167645259,108.675,138.8975,77.406546,33.8,304.44,270.64,0.476862847922945,-1.87140948503963,59.1765838226293
"1.op_ha",3,4,-508.022095878024,1123.74689699032,-92.6927555367486,-508.022095878024,495.334389141552,-2134.26035502959,287.557482590987,2421.81783762057,-0.607326286817812,-1.80231750094065,561.873448495161
"1.vc_ha",4,4,308.129602441942,61.4577775810031,296.031087918328,308.129602441942,44.494860724135,247.899408284024,392.55682564709,144.657417363066,0.397937024902671,-1.8732261206161,30.7288887905016
"1.gm_ha",5,4,738.122487434938,175.486866007046,719.780722724701,738.122487434938,182.304616909498,562.307692307692,950.620811982657,388.313119674964,0.152081433479922,-2.16996141111222,87.7434330035231
"1.nm_ha",6,4,-576.056454417843,824.318675150663,-325.051710430076,-576.056454417843,505.388667706943,-1729.26035502959,75.1379582183682,1804.39831324795,-0.493840683690406,-1.90147581783205,412.159337575332
"1.fbi_ha",7,4,397.585097710361,750.384682076738,445.844211738712,397.585097710361,615.925504682973,-567.100591715976,1265.75255908,1832.85315079597,-0.143863926350755,-1.8691655805663,375.192341038369
"1.slr_ha",8,4,0.0118673614431624,0.00696027838998999,0.00926487961291584,0.0118673614431624,0.00220708855403036,0.00679767471249842,0.0221420118343195,0.0153443371218211,0.678439633911659,-1.73045525318833,0.00348013919499499
"1.sck_glu",9,2,0,0,0,0,0,0,0,0,NA,NA,0
"1.sd_glu",10,4,0.220276375283721,0.308534392739841,0.1133338156562,0.220276375283721,0.168028715091882,0,0.654437869822485,0.654437869822485,0.514647151728482,-1.8898579547712,0.15426719636992
"1.sd_dc",11,4,0,0,0,0,0,0,0,0,NA,NA,0
"1.lspec",12,4,0.315538247483086,0.401561706384483,0.212159169809904,0.315538247483086,0.314547185160164,0,0.837834650312537,0.837834650312537,0.312472421292662,-2.09255111382033,0.200780853192241
"1.feed_lu",13,2,120.564627609378,24.7494046355493,120.564627609378,120.564627609378,25.9461995620326,103.064155761251,138.065099457505,35.0009436962533,4.19956149452893e-16,-2.75,17.5004718481267
"1.homefeed_per",14,2,0.221674157515298,0.103267746489608,0.221674157515298,0.221674157515298,0.108261414696504,0.148652833694642,0.294695481335953,0.146042647641311,1.96900205319671e-16,-2.75,0.0730213238206553
"1.cspec",15,4,0.684461752516914,0.401561706384483,0.787840830190096,0.684461752516914,0.314547185160164,0.162165349687463,1,0.837834650312537,-0.312472421292662,-2.09255111382033,0.200780853192241
"1.ifert_ha",16,4,83.7984382284797,49.0467218426449,74.1699441672729,83.7984382284797,38.2284106813969,36.6272189349112,150.226645644462,113.599426709551,0.370838477454943,-1.93133666037303,24.5233609213225
"1.arable_ha",17,4,0.668686408519716,0.205631100788362,0.659042176120937,0.668686408519716,0.172681825562367,0.426855737230502,0.929805544606491,0.502949807375988,0.105215053064914,-1.87173533958499,0.102815550394181
"1.fodder_ha",18,4,0.0417663568568006,0.0313319296526963,0.0484638397087989,0.0417663568568006,0.0252361303509991,0,0.0701377480096045,0.0701377480096045,-0.351713029349059,-2.00796731522292,0.0156659648263481
"1.grass_ha",19,4,0.289167405365778,0.230006800349772,0.287841612596155,0.289167405365778,0.219617427726453,0.00936145053212456,0.571624945738678,0.562263495206553,0.012865424636488,-1.88387716262847,0.115003400174886
"1.rough_grazing_ha",20,3,0,0,0,0,0,0,0,0,NA,NA,0
"1.wood_aua_p",21,4,0,0,0,0,0,0,0,0,NA,NA,0
"1.fwood_aua_p",22,4,0,0,0,0,0,0,0,0,NA,NA,0
"1.nue",23,3,0.368333333333333,0.287536733885139,0.5028,0.368333333333333,0.0907351199999999,0.0382,0.564,0.5258,-0.365376706485222,-2.33333333333333,0.166009410710491
"1.farm_n_surplus",24,3,116.45,67.3243767145304,98.33,116.45,56.768754,60.04,190.98,130.94,0.249648171798131,-2.33333333333333,38.8697470191579
"1.dsecxx613*",25,4,4.5,5.74456264653803,2,4.5,1.4826,1,13,12,0.692354313460162,-1.73157713498623,2.87228132326901
"1.dseczz612*",26,4,2.5,3,1,2.5,0,1,7,6,0.75,-1.6875,1.5
"1.outputinputlesssubsratio",27,4,1.0999375,0.456072383390692,1.23932,1.0999375,0.181410936,0.43792,1.48319,1.04527,-0.601996568119749,-1.76107482247808,0.228036191695346
"1.fo_kg_ha",28,4,1622.51704975123,1415.25178392813,1517.39906405409,1622.51704975123,1434.81814221646,71.5976331360947,3383.67243776065,3312.07480462455,0.139206924460287,-2.03077677484813,707.625891964067
"1.netem_ha",29,4,2334.2781518435,1134.97452928387,2438.12835892102,2334.2781518435,1142.87356070919,919.570250325568,3541.28563920641,2621.71538888084,-0.162591939148895,-2.06182045456335,567.487264641936
"1.ghg_ha",30,4,2334.28373958246,1134.98224842409,2438.14315182043,2334.28373958246,1142.87356070919,919.563015482564,3541.28563920641,2621.72262372385,-0.162602661390931,-2.06182758499379,567.491124212044
"1.tde_ha",31,4,368.141080752911,65.5983527220602,368.649381656416,368.141080752911,79.3565208048645,296.064245405875,439.201314292936,143.137068887061,-0.0102367564282841,-2.2433982217488,32.7991763610301
