"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"1.cluster",1,11,1,0,1,1,0,1,1,0,NA,NA,0
"1.fa_aaua",2,11,86.7290909090909,37.1953237530057,75.2,84.8466666666667,17.49468,30.6,159.8,129.2,0.554610696235673,-0.842573624165269,11.214812076774
"1.op_ha",3,11,-303.191607424617,1056.72328664629,139.816091954023,-164.89399309159,586.26457768078,-2497.16312056738,646.101376720901,3143.26449728828,-1.00640258099589,-0.573864886529905,318.614059003357
"1.vc_ha",4,11,2871.03059558604,530.349277802686,2989.02080783354,2857.98717964258,589.528897985323,2043.04545454545,3816.40648011782,1773.36102557237,0.0413887041349862,-1.15584706819207,159.906323846134
"1.gm_ha",5,11,2174.48118125173,533.786978086477,2190.12515644556,2225.04837606999,466.918649950369,932.19094247246,2961.66666666667,2029.47572419421,-0.774599382041122,0.207355661248865,160.942829480955
"1.nm_ha",6,11,-608.649419468393,754.532675336899,-227.776141384389,-521.743116076722,556.537491697095,-2147.05882352941,147.603254067584,2294.662077597,-0.716962213457757,-0.965240424688493,227.500161468685
"1.fbi_ha",7,11,202.701268207776,440.150100259032,248.689393939394,238.616092944357,427.399083926898,-622.19094247246,704.36005625879,1326.55099873125,-0.531303266863498,-1.06187846062305,132.710248545138
"1.slr_ha",8,11,0.0509094891837808,0.00640873967816404,0.0531758620689655,0.0521818375594176,0.00171606689655173,0.0339909090909091,0.0563769338959212,0.0223860248050122,-1.59450481638774,1.53411895014688,0.0019323077174121
"1.sck_glu",9,11,0,0,0,0,0,0,0,0,NA,NA,0
"1.sd_glu",10,11,2.52111708036449,0.394633975119849,2.59248366013072,2.58769528677546,0.324528790154359,1.52333333333333,2.91969696969697,1.39636363636364,-1.32337290917887,0.93952121324028,0.118986620454454
"1.sd_dc",11,11,1.70543800543237,0.202263226117879,1.74202127659574,1.70975432723111,0.169744226462227,1.32954545454545,2.04248366013072,0.712938205585264,-0.135096364415322,-0.90873058542306,0.0609846572654381
"1.lspec",12,11,0.929376429838739,0.050387627448249,0.949400028914269,0.934389387329805,0.042307087614666,0.832966077123804,0.980670165134081,0.147704088010277,-0.783092271948588,-0.934595078957191,0.015192441302005
"1.feed_lu",13,11,816.615016340637,157.108706983751,851.909628832706,828.176930562387,171.217054968688,513.850544888428,1015.3222597971,501.471714908668,-0.53832836970011,-1.06590591194901,47.3700574875446
"1.homefeed_per",14,11,0,0,0,0,0,0,0,0,NA,NA,0
"1.cspec",15,11,0.0706235701612609,0.050387627448249,0.0505999710857308,0.065610612670195,0.042307087614666,0.0193298348659188,0.167033922876196,0.147704088010277,0.783092271948591,-0.934595078957187,0.015192441302005
"1.ifert_ha",16,11,226.776601794668,62.339530850641,229.324894514768,231.052567712886,51.9525185671091,94.68788249694,320.381627828436,225.693745331496,-0.499756351237007,-0.446570194223654,18.7960757671237
"1.arable_ha",17,11,0,0,0,0,0,0,0,0,NA,NA,0
"1.fodder_ha",18,11,0.0317616813569861,0.0451211842752528,0,0.0264315824503649,0,0,0.111494252873563,0.111494252873563,0.620557231285482,-1.57644372506606,0.0136045489397725
"1.grass_ha",19,11,0.963630582927356,0.0496064731815847,1,0.968593924342612,0,0.882591093117409,1,0.117408906882591,-0.611742128720006,-1.59699350314212,0.0149569144287404
"1.rough_grazing_ha",20,11,0.0172902549490039,0.0333237753490564,0,0.0104262810150444,0,0,0.0963562753036437,0.0963562753036437,1.39463591269512,0.33988615236328,0.0100474963119013
"1.wood_aua_p",21,11,0.0155409194213328,0.0354841678928712,0,0.00602209384434749,0,0,0.116751269035533,0.116751269035533,2.07491559674509,3.0558776962251,0.0106988791726027
"1.fwood_aua_p",22,11,0,0,0,0,0,0,0,0,NA,NA,0
"1.nue",23,11,0.160536363636364,0.0202059037277362,0.1621,0.159055555555556,0.00993342000000006,0.1345,0.1999,0.0654,0.263423367398055,-0.89017678662901,0.0060923092013586
"1.farm_n_surplus",24,11,428.367272727273,72.2272562251826,435.39,425.983333333333,79.0967099999999,324.24,553.95,229.71,0.200095545106799,-1.2985961003228,21.7773371396175
"1.dsecxx613*",25,11,17,26.2183142097275,1,11.8888888888889,0,1,79,78,1.28917861232648,0.18659979091239,7.90511916993723
"1.dseczz612*",26,11,1,0,1,1,0,1,1,0,NA,NA,0
"1.outputinputlesssubsratio",27,11,0.999861818181818,0.0899350497657262,1.01187,1.00828333333333,0.073596264,0.81831,1.10562,0.28731,-0.554543068955231,-0.838291524704056,0.0271164377795322
