"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"cluster",1,47,1.91489361702128,0.68619262202649,2,1.8974358974359,0,1,3,2,0.102667133465048,-0.92838024657091,0.100091480977812
"fa_aaua",2,47,191.484893617021,92.3752585657931,184.1,184.675641025641,112.08456,58.92,408.68,349.76,0.547618739696329,-0.655498366908267,13.4743163053152
"op_ha",3,47,232.138225571235,466.145665315625,233.019167637403,221.407767389667,277.762313561025,-804.788235294118,1522.14637290519,2326.93460819931,0.281944336336855,0.463562875289488,67.9943335080441
"vc_ha",4,47,532.727746636356,299.723687517274,463.029827315542,489.03960788677,200.720700459035,174.198804997284,1748.11320754717,1573.91440254989,1.80367889057376,4.16499307842081,43.7191931314248
"gm_ha",5,47,1280.69936590296,685.055667897635,1084.46831364125,1158.55403621358,381.792018679512,549.087452471483,3602.54892769249,3053.46147522101,1.88845411903126,3.17056227914886,99.925639173473
"nm_ha",6,47,51.1680252148802,380.13564517873,45.7542113323124,53.4490335492188,259.338472392422,-766.858823529412,816.368794326241,1583.22761785565,-0.0341861349339321,-0.174120502982867,55.4484826520422
"fbi_ha",7,47,352.756518987533,315.912471021546,319.724349157734,331.976996472533,258.710297763518,-129.190683449006,1285.10885565972,1414.29953910873,0.666555899087639,0.180863264315658,46.0805698996366
"slr_ha",8,47,0.0196467222430194,0.00814643846384306,0.017477840451249,0.0190001543297818,0.00598018349504133,0.00324769147202607,0.0399991822047759,0.0367514907327498,0.768415561956799,-0.121047593698662,0.00118828017726659
"sck_glu",9,25,0.299033191014949,0.33069774984122,0.0143266475644699,0.279017494895072,0.0212406876790831,0,0.855377008652658,0.855377008652658,0.294129895605416,-1.76271542582101,0.066139549968244
"sd_glu",10,47,0.18100348697819,0.238599705610844,0.0455589586523737,0.146344165288464,0.0675457120980092,0,0.84517342248224,0.84517342248224,1.08997505442167,0.0323327353968383,0.0348033440303259
"sd_dc",11,47,0,0,0,0,0,0,0,0,NA,NA,0
"lspec",12,47,0.14395535717229,0.214581943503227,0,0.112178805450455,0,0,0.810554164271167,0.810554164271167,1.19646465740487,0.296116921500108,0.0312999933647
"feed_lu",13,25,236.581417623209,212.730725000423,172.026925953628,210.506300317957,203.38421272654,0,795.555555555556,795.555555555556,0.977229984618532,0.27252706099911,42.5461450000846
"homefeed_per",14,22,0.388223435845677,0.352667379962999,0.294382701056841,0.366725886919153,0.426231864836946,0,1,1,0.453667774697983,-1.38577288841317,0.0751889380433677
"cspec",15,47,0.85604464282771,0.214581943503227,1,0.887821194549545,0,0.189445835728833,1,0.810554164271167,-1.19646465740487,0.296116921500107,0.0312999933647
"ifert_ha",16,47,174.18584114963,86.6045322872533,177.304638529043,167.280084910601,68.7907959066886,35.7029041377538,580.089556621317,544.386652483564,2.04015389065656,7.96137952260468,12.6325693657593
"arable_ha",17,47,0.789329347110963,0.168450951104707,0.82427258805513,0.806186496824372,0.163277472434287,0.206409560021727,0.992061426340448,0.78565186631872,-1.08556792131292,1.10567458832741,0.0245710965507003
"fodder_ha",18,47,0.0472775255341661,0.0310501997279798,0.0438321077418822,0.0444221980245914,0.0231855887658176,0,0.14360754985755,0.14360754985755,0.954002207484565,0.923263894148627,0.0045291371193297
"grass_ha",19,47,0.159251744994513,0.162240477741726,0.123660030627871,0.143059616382668,0.162777007105016,0,0.774579033134166,0.774579033134166,1.24876564256408,2.15052370755128,0.0236652059064113
"rough_grazing_ha",20,46,0.0204877304671893,0.0515839207364194,0,0.00998838022998822,0,0,0.321683673469388,0.321683673469388,4.46308890056136,22.5684872706275,0.00760563417951684
"wood_aua_p",21,47,0.00888490267263615,0.0175570623045394,0,0.00483936714727601,0,0,0.0890648193963385,0.0890648193963385,2.75697263627165,8.29427830253928,0.00256096074377965
"fwood_aua_p",22,47,0.00345998403525017,0.0125570778124243,0,0.000542215512464095,0,0,0.0791687283523008,0.0791687283523008,4.82933598701359,25.3725635720566,0.00183163804834767
"nue",23,46,0.85319347826087,0.317963234354172,0.80045,0.815768421052632,0.25471068,0.4168,2.0783,1.6615,1.46496917662036,3.10010324076636,0.0468811212585171
"farm_n_surplus",24,46,30.6745652173913,47.3254320497516,28.665,29.1194736842105,38.347449,-74.31,185.41,259.72,0.555505907179637,1.25638063994915,6.97775427729103
"dsecxx613*",25,47,12.468085106383,21.001916127727,1,8.02564102564103,0,1,81,80,1.83883948441885,2.60460883209257,3.06344431741039
"dseczz612*",26,47,2.12765957446809,5.48760271282142,1,1,0,1,32,31,4.594566770428,20.137822910557,0.80044912304952
"outputinputlesssubsratio",27,47,1.07266957446809,0.210418754154222,1.04288,1.06710769230769,0.21801633,0.69115,1.54636,0.85521,0.239299900619592,-0.622106792348746,0.0306927297857032
"fo_kg_ha",28,47,7290.89721326444,4957.01375959686,6487.18823529412,6696.25660205455,3112.37433620896,1.63454124903624,26485.1166061174,26483.4820648684,1.56764834785473,3.33631417982179,723.054769898543
"netem_ha",29,47,3310.36659655583,1433.81825181537,3187.17638652229,3271.30301494918,1290.83828839129,-96.6811515480717,6393.91412095506,6490.59527250313,0.235880900008226,-0.158394724394591,209.143887110575
"ghg_ha",30,47,3412.87735871587,1371.86910812143,3209.90975234364,3343.37475200002,1324.54277655802,968.066268332428,6451.47513581279,5483.40886748036,0.467817654599758,-0.354333756539961,200.107675792357
"tde_ha",31,47,544.6656191992,254.466013014222,500.21420518602,510.646126991529,151.45959759779,201.357773251867,1517.75166998711,1316.39389673524,1.71997706118844,3.49125755189934,37.1176828248226
"tie_ha",32,47,1285.25176780787,480.031752862589,1316.71929149018,1286.96381552718,400.489417889782,378.036494474428,2243.82978723404,1865.79329275961,-0.102353714673194,-0.6758293055956,70.019827550021
"tch4_ha",33,47,536.26317992336,803.501565874689,0,400.186504852236,0,0,3040.56832427915,3040.56832427915,1.33474390538505,0.734893744791138,117.202749074857
"tn20_ha",34,47,1046.69679178544,417.726340536447,1081.93912063134,1027.75931980056,422.225535184736,227.816404128191,2112.68169470524,1884.86529057705,0.398248130820534,-0.187289560270792,60.9316491107954
