"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"1.cluster",1,9,1,0,1,1,0,1,1,0,NA,NA,0
"1.fa_aaua",2,9,236.136666666667,120.30411433114,216.3,236.136666666667,129.327198,88.7,408.68,319.98,0.257140517151739,-1.76512362876506,40.1013714437133
"1.op_ha",3,9,744.746420021698,466.276487135033,816.053108026554,744.746420021698,619.056299017417,215.864892528147,1522.14637290519,1306.28148037704,0.250048200019842,-1.56969228675174,155.425495711678
"1.vc_ha",4,9,938.257435244274,354.399905420823,750.406756023863,938.257435244274,248.132068882332,583.04396843292,1748.11320754717,1165.06923911425,1.15703949966464,0.204094357436458,118.133301806941
"1.gm_ha",5,9,1988.75878228867,769.130933348468,1993.8845302756,1988.75878228867,898.851717601907,1247.48982360923,3602.54892769249,2355.05910408326,0.821318515526906,-0.570246769294831,256.376977782823
"1.nm_ha",6,9,422.278679791031,312.607168439533,464.480654462549,422.278679791031,462.727901969643,-2.99935728058273,812.131741215621,815.131098496204,-0.154260937996562,-1.78141228900632,104.202389479844
"1.fbi_ha",7,9,633.177318523156,353.630943790179,584.926719278467,633.177318523156,390.646443020477,272.655859458687,1285.10885565972,1012.45299620103,0.472579736514322,-1.3270582255369,117.876981263393
"1.slr_ha",8,9,0.0211377561104618,0.00836571829130481,0.0190208044382802,0.0211377561104618,0.00445594021915282,0.0134442619438692,0.0388610831331835,0.0254168211893144,1.04485668743061,-0.407313852206373,0.00278857276376827
"1.sck_glu",9,2,0,0,0,0,0,0,0,0,NA,NA,0
"1.sd_glu",10,9,0.0534911430771277,0.144178273059029,0,0.0534911430771277,0,0,0.435861329041776,0.435861329041776,2.03283644221711,2.51133929562649,0.0480594243530097
"1.sd_dc",11,9,0,0,0,0,0,0,0,0,NA,NA,0
"1.lspec",12,9,0.00603089637476723,0.0180926891243017,0,0.00603089637476723,0,0,0.0542780673729051,0.0542780673729051,2.07407407407407,2.62962962962963,0.00603089637476723
"1.feed_lu",13,2,252.128959276018,307.284290309388,252.128959276018,252.128959276018,322.143487330317,34.8461538461538,469.411764705882,434.565610859728,-6.41961602161037e-17,-2.75,217.282805429864
"1.homefeed_per",14,2,0.893765871632724,0.0651722676879102,0.893765871632724,0.893765871632724,0.0683237713489021,0.847682119205298,0.93984962406015,0.0921675048548524,1.27293180038087e-15,-2.75,0.0460837524274262
"1.cspec",15,9,0.993969103625233,0.0180926891243017,1,0.993969103625233,0,0.945721932627095,1,0.0542780673729051,-2.07407407407407,2.62962962962961,0.00603089637476723
"1.ifert_ha",16,9,271.021563170221,122.830305543163,232.532734175254,271.021563170221,34.2735824366408,179.498468606432,580.089556621317,400.591088014886,1.67606635741908,1.52163514175361,40.9434351810542
"1.arable_ha",17,9,0.908570761977336,0.057650539027405,0.932547387887194,0.908570761977336,0.0629385915201371,0.820824109119474,0.991555783009212,0.170731673889737,-0.331669927556699,-1.36453022867077,0.0192168463424683
"1.fodder_ha",18,9,0.0338769808656847,0.0234837956804086,0.04021073835903,0.0338769808656847,0.0174738255318639,0,0.0655982655572483,0.0655982655572483,-0.211380805726843,-1.72944074575974,0.00782793189346955
"1.grass_ha",19,9,0.0558427733991018,0.0541290712992261,0.0561257512713823,0.0558427733991018,0.0832120388349515,0,0.127187031350425,0.127187031350425,0.128537283076893,-1.91686426112818,0.0180430237664087
"1.rough_grazing_ha",20,9,0.0119913789306944,0.0228244001463143,0,0.0119913789306944,0,0,0.0660184237461617,0.0660184237461617,1.44702621851863,0.599143522981651,0.00760813338210478
"1.wood_aua_p",21,9,0.0101665493522734,0.0190623478117488,0,0.0101665493522734,0,0,0.0583132530120482,0.0583132530120482,1.71210143753931,1.56971629684428,0.00635411593724961
"1.fwood_aua_p",22,9,0,0,0,0,0,0,0,0,NA,NA,0
"1.nue",23,9,0.937755555555556,0.272160683747263,0.9086,0.937755555555556,0.28110096,0.6957,1.5314,0.8357,1.04186261185418,-0.220839717885859,0.0907202279157544
"1.farm_n_surplus",24,9,15.69,32.458567821147,18.17,15.69,34.885578,-44.28,48.76,93.04,-0.636592455129161,-1.1202520450268,10.819522607049
"1.dsecxx613*",25,9,2.66666666666667,1.93649167310371,2,2.66666666666667,1.4826,1,6,5,0.510022498265998,-1.5198353909465,0.645497224367903
"1.dseczz612*",26,9,1,0,1,1,0,1,1,0,NA,NA,0
"1.outputinputlesssubsratio",27,9,1.20029,0.157210101536129,1.241,1.20029,0.22728258,1.04217,1.5088,0.46663,0.528935370966794,-0.995860319621184,0.0524033671787097
"1.fo_kg_ha",28,9,15197.8081780133,5183.5698005095,14405.2064771054,15197.8081780133,3702.82672418484,9787.1033776868,26485.1166061174,16698.0132284306,0.91134157988174,-0.207986005261295,1727.85660016983
"1.netem_ha",29,9,3356.83078521237,484.389226328644,3416.44333843798,3356.83078521237,258.686523782352,2316.51788902378,4115.56963883723,1799.05174981345,-0.662975198495577,0.0577674704721018,161.463075442881
"1.ghg_ha",30,9,3474.94141869362,491.220442407851,3503.47347951452,3474.94141869362,234.167955485506,2316.51788902378,4115.56963883723,1799.05174981345,-1.17324756755768,0.780549147152541,163.740147469284
"1.tde_ha",31,9,857.383288622252,351.175488637277,915.335613223362,857.383288622252,461.150858417797,498.344421699079,1517.75166998711,1019.40724828803,0.509942186205148,-1.11276959869994,117.058496212426
"1.tie_ha",32,9,1560.62167724839,328.981139014322,1471.12806287564,1560.62167724839,400.481595920153,1123.06926051799,2040.58853633572,917.519275817732,0.240811604491073,-1.60073486360645,109.660379671441
"1.tch4_ha",33,9,14.7303045771652,44.1909137314957,0,14.7303045771652,0,0,132.572741194487,132.572741194487,2.07407407407407,2.62962962962963,14.7303045771652
"1.tn20_ha",34,9,1042.20614824581,184.558758441406,1087.57178014766,1042.20614824581,92.4226785210434,615.539527244162,1228.77430910952,613.234781865357,-1.24223387857096,0.360651968831276,61.5195861471352
"2.cluster",1,13,2,0,2,2,0,2,2,0,NA,NA,0
