"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"cluster",1,67,2.23880597014925,1.34940561818456,2,2.18181818181818,1.4826,1,4,3,0.370467205239494,-1.70176373683971,0.164856134584884
"fa_aaua",2,67,190.830447761194,97.1420660749586,177.82,176.891818181818,82.017432,44.82,543.99,499.17,1.55305050439774,2.80698717938985,11.8677922360012
"op_ha",3,67,-132.545404605868,274.128138385577,-126.685082872928,-116.143879358974,272.618352790294,-968.701007838746,749.028340080972,1717.72934791972,-0.306430313627118,1.33779767532748,33.4900823489943
"vc_ha",4,67,609.071414757199,345.407195742167,552.658328765758,558.424006973916,210.343839613644,178.767605633803,2583.8742951451,2405.10668951129,3.11515977327344,14.1108091025744,42.1982051804901
"gm_ha",5,67,842.090047364289,431.729617967407,806.260280599903,778.373669157184,292.515751025473,272.066115702479,2710.13629842181,2438.07018271933,2.0943439451618,5.66885838760164,52.744167539238
"nm_ha",6,67,-228.413673389062,240.257841924243,-216.642786639921,-217.692521106205,171.847593068501,-826.906729634002,563.061740890688,1389.96847052469,-0.210664110223802,1.30663458649914,29.3521670501298
"fbi_ha",7,67,75.9569404211812,228.651112716653,67.2886662492173,69.5075783781594,197.392977747064,-447.864214992928,776.098178137652,1223.96239313058,0.478525853686329,1.07971980800725,27.9341793920444
"slr_ha",8,67,0.0188525783403981,0.00661687938640145,0.0177274949083503,0.0183987932292276,0.00605167819476139,0.00491079812206573,0.0399123563218391,0.0350015581997734,0.839698631745134,1.20276525267922,0.000808380478009355
"sck_glu",9,66,0.326090074745073,0.298415975743829,0.312148279259648,0.307264351792437,0.462791038830353,0,0.905908997323451,0.905908997323451,0.219290790511718,-1.43277347527755,0.0367324673863603
"sd_glu",10,67,0.709978873167553,0.28727893596947,0.685245901639344,0.706217927825066,0.261914426229508,0,1.44031830238727,1.44031830238727,0.099720901603508,0.0303124281695086,0.0350967079826607
"sd_dc",11,67,0,0,0,0,0,0,0,0,NA,NA,0
"lspec",12,67,0.633203779482914,0.19157953996632,0.637512497965448,0.645847625128349,0.1451418165535,0,0.96360373686981,0.96360373686981,-0.8943278636335,1.86083438801887,0.0234051659477219
"feed_lu",13,66,341.782754187763,462.707281210682,261.412649473952,272.872844797642,136.252678584324,0,3752.71417133707,3752.71417133707,6.10081621061447,41.842677783982,56.9553291312162
"homefeed_per",14,65,0.422812455302304,0.262361564119267,0.444108257492734,0.424684241354549,0.301130642050909,0,0.886524822695035,0.886524822695035,-0.214761800491249,-1.06503384905759,0.0325419469719429
"cspec",15,67,0.366796220517087,0.19157953996632,0.362487502034552,0.354152374871651,0.1451418165535,0.0363962631301899,1,0.96360373686981,0.8943278636335,1.86083438801887,0.0234051659477219
"ifert_ha",16,67,147.920603000175,56.7720496256557,144.083650190114,145.809518995207,54.9693749292892,25.7590854266086,395.333572453372,369.574487026763,1.0385390029109,3.61838321893711,6.93580975773494
"arable_ha",17,67,0.509045419709716,0.15418707420736,0.502799552071668,0.503965401253196,0.139399345693603,0.199823165340407,0.838952654232425,0.639129488892018,0.258765418471749,-0.416878675466582,0.0188369491828376
"fodder_ha",18,67,0.0523486243275642,0.0451571501154,0.0420489296636086,0.0461039664960612,0.0203937325091865,0,0.293427230046948,0.293427230046948,2.63273879304669,10.3685926807925,0.00551682393831268
"grass_ha",19,67,0.426814658339796,0.154432572382816,0.431537598204265,0.428717354023064,0.164572535246047,0.118731247321046,0.771883289124668,0.653152041803623,-0.138437637425506,-0.550260736329232,0.0188669415585236
"rough_grazing_ha",20,67,0.0395023271991499,0.0854254076362421,0.012025012025012,0.0181392020498992,0.0178282828282828,0,0.487121212121212,0.487121212121212,3.33094861364012,12.0182233265711,0.0104363745848306
"wood_aua_p",21,67,0.0242427877886723,0.0466836448898824,0,0.0140301704783907,0,0,0.23432409069752,0.23432409069752,2.96715208448383,9.78877370435588,0.00570331495672401
