"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"1.cluster",1,22,1,0,1,1,0,1,1,0,NA,NA,0
"1.fa_aaua",2,22,179.903181818182,64.8080464130044,180.56,173.796666666667,71.824557,99.9,364.23,264.33,0.8544328054205,0.577761695711783,13.8171219208602
"1.op_ha",3,22,-70.2276220831256,180.555597759025,-103.619559493408,-66.3685506805147,174.241919893313,-391.103253182461,213.204363963559,604.30761714602,0.0345065981191653,-1.00536576429655,38.4945827842395
"1.vc_ha",4,22,739.150970714341,286.184638327821,660.657511650419,704.783954922326,164.252748947692,383.502824858757,1419.84441301273,1036.34158815397,1.10391067775615,0.133571409671712,61.0147699014626
"1.gm_ha",5,22,877.869028685803,253.546050936851,827.010212584712,880.088519724708,288.788815293853,392.578199052133,1328.39978448276,935.821585430626,-0.0715023726024893,-0.794758761515524,54.0561996888727
"1.nm_ha",6,22,-207.472040878363,155.256755599466,-233.235175026982,-207.36693398782,161.729276069517,-504.266855256954,90.0509337860781,594.317789043032,0.0664938671543894,-0.933715500245405,33.1008515128541
"1.fbi_ha",7,22,94.4012491601544,251.436811241236,83.1593253289995,93.0774482360166,214.232309351545,-447.864214992928,755.630885122411,1203.49510011534,0.292178658053639,0.638487828839157,53.606508274802
"1.slr_ha",8,22,0.0212331950787432,0.00560205977206971,0.0197088234827198,0.0204027571592076,0.00397336336879456,0.0147402031930334,0.0394341290893015,0.0246939258962681,1.60469238283844,2.7180098630618,0.00119436315647221
"1.sck_glu",9,22,0.420580794940501,0.30297826907626,0.459115128980519,0.41736253449839,0.310923632915839,0,0.902396017010684,0.902396017010684,-0.274121354916152,-1.39418865391717,0.0645951840072415
"1.sd_glu",10,22,0.919746610680975,0.179525204555037,0.893072159612084,0.897518379189928,0.0679174703339853,0.631256326622427,1.44031830238727,0.809061975764841,1.21621375070461,1.34149548825043,0.0382749022150214
"1.sd_dc",11,22,0,0,0,0,0,0,0,0,NA,NA,0
