"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"1.cluster",1,16,1,0,1,1,0,1,1,0,NA,NA,0
"1.fa_aaua",2,16,243.120625,139.946782479091,180.29,230.580714285714,67.888254,98.7,563.1,464.4,0.992874752939243,-0.44395989142491,34.9866956197727
"1.op_ha",3,16,128.582361942338,307.662091166468,125.751774398098,139.310089346661,380.571415870429,-518.237082066869,625.213622291022,1143.45070435789,-0.260152455458477,-0.877892765883525,76.915522791617
"1.vc_ha",4,16,667.531438450943,153.564475550564,673.827807916415,657.818772072824,167.236918552873,463.68884224124,1007.3513639543,543.662521713062,0.556134305713885,-0.566791180250691,38.3911188876409
"1.gm_ha",5,16,985.262091037718,309.435799023872,925.66004803809,977.40524525611,332.11611738556,544.458204334365,1536.06181868359,991.603614349228,0.291451901892326,-1.33262232887944,77.3589497559679
"1.nm_ha",6,16,-50.9489765628355,336.746959780736,-53.5577119376791,-32.3191441941471,269.41293996838,-847.25430597771,484.538699690402,1331.79300566811,-0.422209097105031,-0.0372442103342374,84.186739945184
"1.fbi_ha",7,16,201.120144700335,330.685986277303,200.672809026733,202.971714016003,316.564632438008,-383.784098857543,760.102417838854,1143.8865166964,0.135296009271943,-0.977658800611601,82.6714965693257
"1.slr_ha",8,16,0.0111417595012247,0.00195367651556438,0.0111571301172798,0.0110602860637155,0.00185214763091543,0.00829040852575488,0.0151337386018237,0.00684333007606882,0.188521856130496,-0.889129139963377,0.000488419128891095
"1.sck_glu",9,13,0.140247494312828,0.271163509919556,0,0.100663210762917,0,0,0.715922107674685,0.715922107674685,1.2343622593636,-0.368395723873173,0.0752072260807497
"1.sd_glu",10,16,0.22005759434465,0.146694923419896,0.239194266701341,0.221111377904658,0.172851383519034,0,0.425362218849179,0.425362218849179,-0.332661342099166,-1.45366871324889,0.036673730854974
"1.sd_dc",11,16,0,0,0,0,0,0,0,0,NA,NA,0
"1.lspec",12,16,0.346609894948843,0.212103938727004,0.400101975095619,0.349118044101715,0.192702905134674,0,0.658105701757473,0.658105701757473,-0.419961061939307,-1.1237584719468,0.053025984681751
"1.feed_lu",13,13,763.15322491895,347.994438141404,875.248650184712,778.915442289424,375.342915752275,169.587628865979,1183.3344298967,1013.74680103072,-0.435309523032481,-1.35156840312732,96.5162915611625
"1.homefeed_per",14,13,0.434752733100033,0.239633876077345,0.419935394554684,0.437598532172461,0.22281181317637,0,0.838201676403353,0.838201676403353,0.0603294073773619,-1.05944000027669,0.0664624790411577
"1.cspec",15,16,0.653390105051157,0.212103938727004,0.599898024904381,0.650881955898285,0.192702905134674,0.341894298242527,1,0.658105701757473,0.419961061939308,-1.1237584719468,0.053025984681751
"1.ifert_ha",16,16,213.524926395886,30.5986328219757,216.766633946494,214.124743285215,43.5703585205194,166.264661239133,252.387755102041,86.1230938629074,-0.198488733702957,-1.62366450962292,7.64965820549393
"1.arable_ha",17,16,0.825247730515684,0.0848370442200821,0.842898578690912,0.827654130449517,0.0534829054486551,0.648214169961755,0.968591691995947,0.320377522034192,-0.745063037470335,-0.121396341403048,0.0212092610550205
"1.fodder_ha",18,16,0.0426974135402708,0.0216154333374932,0.0460681914415507,0.0408915162088639,0.00753787185946332,0.00904473665901343,0.101632653061224,0.0925879164022111,0.768822906264577,1.21715901470801,0.00540385833437329
"1.grass_ha",19,16,0.131217395252988,0.0956761018070678,0.11953819532142,0.126594616604866,0.054986132541604,0,0.327153691579698,0.327153691579698,0.742129155492587,-0.363596215358665,0.023919025451767
"1.rough_grazing_ha",20,12,0.00400541436905211,0.00742843067824783,0,0.00278015479098816,0,0,0.0202634245187437,0.0202634245187437,1.27839390455218,-0.138452753381263,0.00214440322587143
"1.wood_aua_p",21,16,0.00487399211637429,0.01436079340318,0,0.00142683511823109,0,0,0.0580081822067534,0.0580081822067534,3.13889688388997,8.72201298812698,0.00359019835079501
"1.fwood_aua_p",22,16,0.000248783724015922,0.000995134896063689,0,0,0,0,0.00398053958425475,0.00398053958425475,3.28125,9.36328125,0.000248783724015922
"1.nue",23,12,0.7173,0.116948481275848,0.73535,0.72101,0.09918594,0.4986,0.8989,0.4003,-0.332619984503152,-1.0662947844709,0.0337601185729643
"1.farm_n_surplus",24,12,53.39,26.8000617366996,52.17,51.837,27.932184,15.5,106.81,91.31,0.344798026733931,-1.04189386233121,7.73651142899105
