"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"cluster",1,65,2.13846153846154,0.609223970436034,2,2.16981132075472,0,1,3,2,-0.0707279895596261,-0.451504195100906,0.0755649334784173
"fa_aaua",2,65,187.492461538462,95.9051278450279,172.6,176.980377358491,102.981396,58.92,518.3,459.38,0.987909266939937,0.836776917271051,11.8955670780021
"op_ha",3,65,286.642529731141,461.429333360214,242.853644885966,271.86573266325,290.875807538507,-804.788235294118,1522.14637290519,2326.93460819931,0.368722007065368,0.668538860431319,57.2332648950096
"vc_ha",4,65,515.92192644088,281.391730107724,438.995708154506,476.263831241078,205.071323373817,148.582292232482,1748.11320754717,1599.53091531469,1.79303652697705,4.38249287506958,34.9023485595097
"gm_ha",5,65,1311.06945698193,641.396519181839,1125.20541603981,1204.37096764121,350.592258681382,549.087452471483,3602.54892769249,3053.46147522101,1.72201913847436,2.92797340905414,79.5554470231616
"nm_ha",6,65,108.318448755059,387.116813998261,76.7246061922868,103.803146354017,240.627571668983,-766.858823529412,1263.19989271106,2030.05871624047,0.244089645605175,0.577095530249358,48.0159312792942
"fbi_ha",7,65,417.292189101376,357.92677544872,332.523029682702,383.207746722249,268.977692846952,-129.190683449006,1657.44652316771,1786.63720661671,1.09679081197626,1.49268919076669,44.3953525951532
"slr_ha",8,65,0.0187607704022983,0.00778482451807631,0.0167108712413261,0.0180661933792673,0.0048430749444097,0.00320206409560022,0.0399991822047759,0.0367971181091757,0.860451908099729,0.315913436076017,0.000965588642923158
"sck_glu",9,33,0.270128012626404,0.330619677734831,0,0.240878110540463,0,0,0.855377008652658,0.855377008652658,0.479693739219431,-1.6285349934183,0.0575534985129077
"sd_glu",10,65,0.170671769489281,0.228165976662141,0.00832618025751073,0.135153117637823,0.0123443948497854,0,0.84517342248224,0.84517342248224,1.11811538042117,0.121277707424266,0.0283005063575762
"sd_dc",11,65,0,0,0,0,0,0,0,0,NA,NA,0
"lspec",12,65,0.128604750560488,0.20294783651755,0,0.0944831935667432,0,0,0.810554164271167,0.810554164271167,1.31992169357076,0.613364011743434,0.0251725810379084
"feed_lu",13,34,Inf,NA,167.82237646356,225.028218379636,224.447558453691,0,Inf,Inf,NA,NA,NA
"homefeed_per",14,29,0.418804223755303,0.364272536732772,0.283789919782049,0.405812899556152,0.420746935068866,0,1,1,0.393844900457924,-1.4719558642111,0.0676437118972047
"cspec",15,65,0.871395249439512,0.20294783651755,1,0.905516806433257,0,0.189445835728833,1,0.810554164271167,-1.31992169357076,0.613364011743434,0.0251725810379084
"ifert_ha",16,65,170.258150315338,78.1650985098811,165.733992712129,164.009554149925,58.8705513204467,35.7029041377538,580.089556621317,544.386652483564,2.17537374025076,9.54030022679714,9.69518724781243
"arable_ha",17,65,0.79400309694044,0.169383042899053,0.843059936908517,0.81617949664402,0.120026207112187,0.200434546442151,0.992061426340448,0.791626879898297,-1.47217281941993,2.36859094965797,0.0210093807698965
"fodder_ha",18,65,0.0458956708151722,0.0286533896179868,0.0438321077418822,0.0434291758152205,0.0231855887658176,0,0.14360754985755,0.14360754985755,0.9624543560749,1.3141142882934,0.00355401557634818
"grass_ha",19,65,0.153363483147009,0.167729363076926,0.102341389728097,0.13057070352345,0.13116999010701,0,0.774579033134166,0.774579033134166,1.64752318344982,3.34865297689816,0.0208042670320635
"rough_grazing_ha",20,46,0.0204877304671893,0.0515839207364194,0,0.00998838022998822,0,0,0.321683673469388,0.321683673469388,4.46308890056136,22.5684872706275,0.00760563417951684
"wood_aua_p",21,65,0.00980286303345566,0.0198894961693348,0,0.00478943245450309,0,0,0.0890648193963385,0.0890648193963385,2.59982036195346,6.54117669319521,0.00246698837847652
"fwood_aua_p",22,65,0.00383037014928402,0.0143514012093857,0,0.000271172894128393,0,0,0.0791687283523008,0.0791687283523008,4.51831405973548,20.4698235292398,0.0017800722399894
"nue",23,46,0.85319347826087,0.317963234354172,0.80045,0.815768421052632,0.25471068,0.4168,2.0783,1.6615,1.46496917662036,3.10010324076636,0.0468811212585171
"farm_n_surplus",24,46,30.6745652173913,47.3254320497516,28.665,29.1194736842105,38.347449,-74.31,185.41,259.72,0.555505907179637,1.25638063994915,6.97775427729103
"dsecxx613*",25,65,9.29230769230769,18.5411055806779,1,4.73584905660377,0,1,81,80,2.37784641237672,5.1669818584629,2.29974110968988
"dseczz612*",26,65,1.81538461538462,4.68005177486154,1,1,0,1,32,31,5.54932669116457,30.081045725138,0.580488979758705
"outputinputlesssubsratio",27,65,1.12297076923077,0.245352664701163,1.0877,1.10656924528302,0.207104394,0.69115,1.79144,1.10029,0.66302568964993,0.444771938506913,0.0304322526469639
"fo_kg_ha",28,65,7280.07138301668,4790.64291577788,6181.42892529814,6771.11510140949,3421.00463954063,1.63454124903624,26485.1166061174,26483.4820648684,1.36629290184452,2.72046170225281,594.206122570181
"netem_ha",29,65,3185.00472723736,1447.88367246241,3099.13793103448,3134.96289802623,1381.88778958411,-96.6811515480717,6393.91412095506,6490.59527250313,0.25518530507772,-0.23018287299613,179.587867029924
"ghg_ha",30,65,3298.39571975353,1368.14857049262,3187.17638652229,3214.86185838136,1327.01148407787,968.066268332428,6451.47513581279,5483.40886748036,0.500034931251285,-0.388232960799075,169.697944819657
"tde_ha",31,65,541.382760547056,239.858298786678,502.75390625,515.084628009398,184.34112945718,121.22216186855,1517.75166998711,1396.52950811856,1.46958573336403,3.34359468882057,29.7507604290246
"tie_ha",32,65,1242.02912807327,462.966563885236,1258.86045094455,1240.90093198743,425.578690931654,378.036494474428,2243.82978723404,1865.79329275961,0.0063156287937608,-0.625872971238779,57.4239348751831
"tch4_ha",33,65,505.581603415484,763.679587662464,0,364.674174478402,0,0,3040.56832427915,3040.56832427915,1.36377993451353,0.862657851604814,94.7227949669099
"tn20_ha",34,65,1009.40222771772,416.226614223702,1025.23353751914,991.522586963596,434.041811522324,220.673546985334,2112.68169470524,1892.0081477199,0.340612459948588,-0.258720175875009,51.6265576242017
