"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"1.cluster",1,8,1,0,1,1,0,1,1,0,NA,NA,0
"1.fa_aaua",2,8,198.51,116.645951004372,149.13,198.51,76.954353,88.7,408.68,319.98,0.748510937493768,-1.22980677731216,41.2405714765725
"1.op_ha",3,8,1056.11865040143,420.068248711821,1090.29838056547,1056.11865040143,311.43358278976,236.482525366404,1522.14637290519,1285.66384753879,-0.604989953477186,-0.799047785302387,148.516553612643
"1.vc_ha",4,8,891.134406155557,398.874024118021,749.114612408603,891.134406155557,267.523418894299,494.63829787234,1748.11320754717,1253.47490967483,1.06740738507479,-0.146017334442961,141.023263646509
"1.gm_ha",5,8,2350.45039287896,640.376048119485,2222.73381662341,2350.45039287896,449.425858800954,1425.26493799324,3602.54892769249,2177.28398969925,0.545611103127616,-0.594749124585588,226.407123067365
"1.nm_ha",6,8,692.831085732803,336.327383073339,710.140146044961,692.831085732803,219.059893882324,107.1702367531,1263.19989271106,1156.02965595796,-0.0624653517349248,-0.773132495304423,118.909686634942
"1.fbi_ha",7,8,974.624072434121,436.72022200841,896.275678797388,974.624072434121,519.045017699423,332.61748505801,1657.44652316771,1324.8290381097,0.112244828030162,-1.47154898017872,154.403915231721
"1.slr_ha",8,8,0.0225921730773859,0.00815418054048405,0.0198865762947394,0.0225921730773859,0.00191913361007547,0.0136018912529551,0.0388610831331835,0.0252591918802285,0.912583051777269,-0.683840633566794,0.00288293817759783
"1.sck_glu",9,2,0,0,0,0,0,0,0,0,NA,NA,0
"1.sd_glu",10,8,0.119861865486488,0.223160514016483,0,0.119861865486488,0,0,0.523033594850131,0.523033594850131,0.97579960876944,-1.10334026442397,0.0788991563770653
"1.sd_dc",11,8,0,0,0,0,0,0,0,0,NA,NA,0
"1.lspec",12,8,0,0,0,0,0,0,0,0,NA,NA,0
"1.feed_lu",13,2,26.6538461538462,11.585672645595,26.6538461538462,26.6538461538462,12.1459153846154,18.4615384615385,34.8461538461538,16.3846153846154,0,-2.75,8.19230769230769
"1.homefeed_per",14,2,0.923841059602649,0.107705006405898,0.923841059602649,0.923841059602649,0.112913245033113,0.847682119205298,1,0.152317880794702,7.59295198402319e-16,-2.75,0.076158940397351
"1.cspec",15,8,1,0,1,1,0,1,1,0,NA,NA,0
"1.ifert_ha",16,8,280.396260339128,126.328188385452,232.081427772935,280.396260339128,22.4500481058657,197.862884160756,580.089556621317,382.226672460561,1.59104012838236,1.00442403417395,44.6637593311823
"1.arable_ha",17,8,0.923978794311359,0.028046815530944,0.933474561164973,0.923978794311359,0.0279800073280258,0.889515219842165,0.956690307328605,0.0671750874864406,-0.248454016211421,-1.95051187863442,0.00991604672630933
"1.fodder_ha",18,8,0.0334452404835737,0.0213805558109883,0.0343546818597269,0.0334452404835737,0.0197163569635547,0,0.0655982655572483,0.0655982655572483,-0.099457242030221,-1.38961890216375,0.00755916799974365
"1.grass_ha",19,8,0.0413076450246842,0.0423991651564741,0.0349970973758322,0.0413076450246842,0.0518866965694088,0,0.100338218714769,0.100338218714769,0.153650384918416,-1.99289726733177,0.0149903685993956
"1.rough_grazing_ha",20,6,0.00526118000751597,0.0128872064633463,0,0.00526118000751597,0,0,0.0315670800450958,0.0315670800450958,1.36082763487954,-0.083333333333333,0.00526118000751597
"1.wood_aua_p",21,8,0.0033399192685178,0.00660869435364518,0,0.0033399192685178,0,0,0.017718715393134,0.017718715393134,1.26919595413482,-0.0826292712337096,0.00233652629612588
"1.fwood_aua_p",22,8,0,0,0,0,0,0,0,0,NA,NA,0
"1.nue",23,6,0.912666666666667,0.166247798982924,0.91415,0.912666666666667,0.0894749099999999,0.6957,1.1977,0.502,0.438109513567256,-1.05783684884149,0.0678703797281586
"1.farm_n_surplus",24,6,15.8383333333333,24.7458727198429,15.695,15.8383333333333,14.892717,-25.93,48.36,74.29,-0.389076099173429,-1.12825442065028,10.1024602339122
"1.dsecxx613*",25,8,19.25,21.7107609921242,12.5,19.25,17.0499,1,56,55,0.462588161228264,-1.56984687685497,7.67591316112571
"1.dseczz612*",26,8,1,0,1,1,0,1,1,0,NA,NA,0
"1.outputinputlesssubsratio",27,8,1.3962725,0.266443249425249,1.285655,1.3962725,0.19852014,1.04217,1.79144,0.74927,0.385185678685909,-1.52537225579971,0.0942019142349863
"1.fo_kg_ha",28,8,17061.6811485026,4150.02896237443,15941.6294613142,17061.6811485026,1541.46438569161,13077.7903043968,26485.1166061174,13407.3263017206,1.31631679278038,0.459000029759248,1467.25681070777
"1.netem_ha",29,8,3889.67942559771,878.790054844945,3589.31711006334,3889.67942559771,315.262863499277,3241.96166854566,5961.4631529538,2719.50148440814,1.53885991849117,0.925716910537432,310.699203510079
"1.ghg_ha",30,8,3929.1667368567,855.423408040591,3649.05340963799,3929.1667368567,264.076443355933,3345.52935737402,5961.45644739489,2615.92709002087,1.5870905966743,1.03524518419234,302.437846305604
"1.tde_ha",31,8,914.035341609018,327.30350233931,895.503922751961,914.035341609018,322.783661200158,500.21420518602,1517.75166998711,1017.53746480109,0.537467832787746,-1.04944035074077,115.719263005117
"1.tie_ha",32,8,1616.35904704843,282.385562327222,1606.54946964656,1616.35904704843,299.920048280024,1123.06926051799,1985.76392287364,862.694662355653,-0.29613433632952,-1.3216237251194,99.8383730153775
"1.tch4_ha",33,8,189.781566418561,536.783330235079,0,189.781566418561,0,0,1518.25253134849,1518.25253134849,1.85615530061469,1.703125,189.781566418561
"1.tn20_ha",34,8,1208.99078178069,254.747258294023,1141.18331897174,1208.99078178069,83.6599579600224,903.428110012724,1724.4551733387,821.027063325974,0.874502591542285,-0.549596871378877,90.0667569141924
"2.cluster",1,40,2,0,2,2,0,2,2,0,NA,NA,0
"2.fa_aaua",2,40,179.095,96.3123413291759,167.06,167.1228125,103.70787,58.92,518.3,459.38,1.26562803498299,2.01666211198531,15.2283182691882
"2.op_ha",3,40,225.658269894547,341.940725020035,249.889813379539,255.499332558518,203.058951672897,-804.788235294118,1000.63120567376,1805.41944096788,-0.81815120240065,1.50602025598003,54.0655757916318
"2.vc_ha",4,40,417.823536906001,216.79873336522,375.313257026086,381.812748388272,133.21743676983,148.582292232482,1087.81010719755,939.227814965067,1.56635591493809,2.06254376239075,34.2788895636819
"2.gm_ha",5,40,1187.63838306586,557.237794779207,1088.696367227,1103.77880912337,326.75861852605,549.087452471483,3442.9219858156,2893.83453334412,2.27607489039821,6.19721013272807,88.1070314915889
"2.nm_ha",6,40,83.4839967678273,298.095849713594,84.0328493791769,100.815577873834,186.478733607532,-766.858823529412,816.368794326241,1583.22761785565,-0.536756792565204,1.29856916340188,47.1330923069104
"2.fbi_ha",7,40,359.214569271906,242.353863676964,326.513788219014,356.27684115882,221.243923172911,-129.190683449006,978.156028368794,1107.3467118178,0.248435068198529,-0.129558920816472,38.3195104480578
"2.slr_ha",8,40,0.0176184461468711,0.00823268530836935,0.0152633105036099,0.0167876954580569,0.00393423132879988,0.00320206409560022,0.0399991822047759,0.0367971181091757,0.995540508756068,0.488098777520279,0.00130170184169264
"2.sck_glu",9,15,0.116179662640356,0.241453496606424,0,0.0806736737832057,0,0,0.693937180423667,0.693937180423667,1.44833289876,0.277362099850169,0.0623430247493487
"2.sd_glu",10,40,0.0769466405689667,0.139498488490228,0,0.0427831580117663,0,0,0.491133384734001,0.491133384734001,1.72981519052995,1.62493149526479,0.0220566476889952
"2.sd_dc",11,40,0,0,0,0,0,0,0,0,NA,NA,0
"2.lspec",12,40,0.0908730401027626,0.196431691471799,0,0.0407860127442179,0,0,0.810554164271167,0.810554164271167,2.11527265878728,3.5297631876482,0.0310585774845178
"2.feed_lu",13,16,Inf,NA,165.13717431702,290.647431380354,244.832374642414,0,Inf,Inf,NA,NA,NA
"2.homefeed_per",14,13,0.426821112213791,0.435278158362756,0.337148287402388,0.413515859889026,0.499856050902781,0,1,1,0.239135198783986,-1.90417938515406,0.120724439928188
"2.cspec",15,40,0.909126959897237,0.196431691471799,1,0.959213987255782,0,0.189445835728833,1,0.810554164271167,-2.11527265878728,3.5297631876482,0.0310585774845178
"2.ifert_ha",16,40,139.754910260098,54.0683008350664,134.623764167687,137.335009111552,46.0771075380555,35.7029041377538,303.729500289408,268.026596151654,0.593639649999657,0.628111451298941,8.54894899269969
"2.arable_ha",17,40,0.792567701338476,0.185556529722262,0.854489782982852,0.823120125009062,0.117812984384037,0.200434546442151,0.992061426340448,0.791626879898297,-1.65242137785153,2.60996476770059,0.0293390634319539
"2.fodder_ha",18,40,0.0487289251354848,0.0287661773232797,0.0480793937529929,0.0463903629132111,0.0197836482459909,0,0.14360754985755,0.14360754985755,0.954382228564863,1.46740062330444,0.00454833199589248
"2.grass_ha",19,40,0.148735276349149,0.185715340379054,0.102301083928191,0.114357898635312,0.126298050171487,0,0.774579033134166,0.774579033134166,1.92243380605777,3.75761003113479,0.0293641736015624
"2.rough_grazing_ha",20,28,0.0175015185220511,0.0287943746594574,0,0.0128234654594198,0,0,0.116260923845194,0.116260923845194,1.7215143244266,2.58851709611905,0.00544162532189604
"2.wood_aua_p",21,40,0.0127244514237779,0.0239111707984581,0,0.00648772272047736,0,0,0.0890648193963385,0.0890648193963385,2.07195414834515,3.28289639128921,0.00378068806222173
"2.fwood_aua_p",22,40,0.00565662506993091,0.0177876931817894,0,0.000885390208765691,0,0,0.0791687283523008,0.0791687283523008,3.53086149745875,11.6159285171175,0.0028124812387351
"2.nue",23,28,0.95195,0.341326106151787,0.8764,0.918129166666667,0.24099663,0.4168,2.0783,1.6615,1.34391341412624,2.15905545685752,0.0645045709179758
"2.farm_n_surplus",24,28,12.7453571428571,37.2451093962925,14.965,13.8895833333333,35.723247,-74.31,83.38,157.69,-0.330627617393284,-0.284094325886274,7.03866407257036
"2.dsecxx613*",25,40,8.15,17.4613859701915,1,3.6875,0,1,81,80,2.51274053203895,6.12584670111853,2.7608875384557
"2.dseczz612*",26,40,1.55,3.47850542618522,1,1,0,1,23,22,5.85811936546192,33.148125,0.55
"2.outputinputlesssubsratio",27,40,1.093426,0.20607199247114,1.094035,1.097584375,0.204665517,0.69115,1.54636,0.85521,-0.0707101590312228,-0.581126000826102,0.0325828429088936
"2.fo_kg_ha",28,40,6170.60907500029,3079.41519495027,5939.54356057573,6200.52007749347,2871.89308714548,1.63454124903624,12419.9382596952,12418.3037184461,-0.0413892181359004,-0.448132030369638,486.898293868715
"2.netem_ha",29,40,2303.74876996419,880.985989228016,2428.99567043095,2378.05199842845,961.743479840754,-96.6811515480717,3601.95819218376,3698.63934373183,-0.763006113274681,0.130935738930385,139.296115632855
"2.ghg_ha",30,40,2450.88085400375,751.542687737125,2466.51460559235,2473.83691675248,837.63685393427,968.066268332428,3767.70726714432,2799.64099881189,-0.218032527746528,-1.01620313047892,118.829332604701
"2.tde_ha",31,40,460.053058197725,172.428110207946,456.96434236616,449.55584033532,175.009843407807,121.22216186855,917.70290964778,796.48074777923,0.564687146625124,0.115486722053385,27.263278044782
"2.tie_ha",32,40,1015.0260825644,396.851914507493,1024.71232424086,1002.40612881334,421.309461583969,378.036494474428,2040.58853633572,1662.55204186129,0.311433405881237,-0.274157771262515,62.7477971821048
"2.tch4_ha",33,40,205.017120476769,415.174099760866,0,100.331962640013,0,0,1425.65407350296,1425.65407350296,1.82671158567881,1.76916902148712,65.6447890377152
"2.tn20_ha",34,40,770.784592764849,278.160943367302,782.580026306877,772.847786669726,319.790377465507,220.673546985334,1264.17759051186,1043.50404352653,-0.0220540604596656,-0.994891623952704,43.981106857089
"3.cluster",1,17,3,0,3,3,0,3,3,0,NA,NA,0
"3.fa_aaua",2,17,202.066470588235,88.1212275746582,208.02,198.748666666667,110.557482,88.1,365.8,277.7,0.206807734261249,-1.25541197552536,21.3725370087887
