"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"cluster",1,82,2.31707317073171,1.19544452995928,2,2.27272727272727,1.4826,1,4,3,0.366030486632917,-1.42171588896821,0.132014763781231
"fa_aaua",2,82,187.522926829268,97.0787093731171,170.4,172.678181818182,77.31759,44.82,543.99,499.17,1.64926168339265,3.04057339330601,10.7205500254498
"op_ha",3,82,-125.521719347467,266.456746880228,-103.059769056696,-106.700277766708,238.24406777743,-968.701007838746,749.028340080972,1717.72934791972,-0.426817562628189,1.39897335315358,29.4252251909226
"vc_ha",4,82,625.651662519095,365.447002445438,562.37297311618,569.854285565213,209.321634880065,165.821596244131,2583.8742951451,2418.05269890097,2.81883323868671,10.9611565673039,40.3568701795279
"gm_ha",5,82,859.978867113779,428.1568362457,816.436447350501,796.368166204894,273.336671521445,272.066115702479,2710.13629842181,2438.07018271933,2.03772094519016,5.32912498442054,47.2820128259908
"nm_ha",6,82,-212.778724548115,232.554162658078,-194.192580847653,-200.453589471277,162.158701010508,-826.906729634002,563.061740890688,1389.96847052469,-0.288576445176691,1.34460748410302,25.6813110773897
"fbi_ha",7,82,88.7014596366618,225.792470655085,71.7279006946421,82.6640313053229,202.093246794757,-447.864214992928,776.098178137652,1223.96239313058,0.408085112236669,0.737662432359461,24.934607110651
"slr_ha",8,82,0.0188986821415165,0.0069085930656966,0.0181012864759629,0.0183968176230852,0.00603466149219061,0.00474413145539906,0.0399123563218391,0.03516822486644,0.791382125693149,1.13193192870487,0.000762926475274978
"sck_glu",9,81,0.321216146422893,0.305422760425519,0.309512972234866,0.299738462443683,0.458883932635412,0,0.918111842715385,0.918111842715385,0.246227752449653,-1.45592765267751,0.0339358622695021
"sd_glu",10,82,0.716510539924104,0.302367591155429,0.74965724877776,0.710657287128739,0.264842041494038,0,1.44031830238727,1.44031830238727,0.0931827772163675,-0.131191204379218,0.0333909145268693
"sd_dc",11,82,0,0,0,0,0,0,0,0,NA,NA,0
"lspec",12,82,0.638635524792287,0.200979527951205,0.644328559986308,0.655585844071468,0.159061660049725,0,0.96360373686981,0.96360373686981,-1.00885818218974,1.78428634356873,0.0221944759814539
"feed_lu",13,81,374.799748564942,510.237889796513,269.649440918707,287.236561842208,147.832423136035,0,3752.71417133707,3752.71417133707,5.03687936468549,27.9157134226079,56.6930988662792
