"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"1.cluster",1,26,1,0,1,1,0,1,1,0,NA,NA,0
"1.fa_aaua",2,26,197.945769230769,127.516930928346,168.4,180.744545454545,77.132265,44.82,543.99,499.17,1.49607828479064,1.40094530255865,25.00812765835
"1.op_ha",3,26,-188.486078877913,254.001818326226,-132.12983304881,-167.766040520321,250.655209895606,-717.380952380952,106.370192307692,823.751144688645,-0.764947258998084,-0.632905447200563,49.8138549282107
"1.vc_ha",4,26,393.859143740762,143.408525964773,370.308666288049,387.319223361441,149.210058685978,165.821596244131,743.813459268005,577.991863023873,0.408780074234804,-0.392258890023475,28.1247258580752
"1.gm_ha",5,26,592.317201400416,195.339577904862,546.609484562579,591.67635346088,222.90671039054,272.066115702479,917.111542293775,645.045426591296,0.147965907149448,-1.31417992052232,38.3092430582258
"1.nm_ha",6,26,-265.112946916619,219.382809794492,-185.585316103742,-242.570790283399,122.309906814558,-826.906729634002,16.640625,843.547354634002,-1.04115433828636,-0.0220626307603187,43.0245087726511
"1.fbi_ha",7,26,17.5430372655142,194.73443643346,35.8239607548202,14.6807153109458,189.131767250135,-372.550177095632,509.549308344489,882.099485440121,0.212457035696259,0.0998635930368024,38.1905650516426
"1.slr_ha",8,26,0.0138511317858693,0.00549053020255853,0.0134769940481802,0.0135099371357864,0.00445759902223847,0.00474413145539906,0.0298697557921102,0.0251256243367111,0.867543016134663,1.04797724716157,0.00107678156318525
"1.sck_glu",9,25,0.21492469390967,0.291985137388278,0,0.176394628585887,0,0,0.905908997323451,0.905908997323451,1.01346453962742,-0.487554636644155,0.0583970274776555
"1.sd_glu",10,26,0.426287923632183,0.201528303519423,0.421383297032033,0.431478458510134,0.226715102447221,0,0.834438775510204,0.834438775510204,-0.234923977642901,-0.772675548978289,0.0395229520071842
"1.sd_dc",11,26,0,0,0,0,0,0,0,0,NA,NA,0
"1.lspec",12,26,0.535156195100854,0.253146451735269,0.566581443849814,0.55242172855533,0.204438769462352,0,0.915073979973098,0.915073979973098,-0.824591378005868,-0.159191427187134,0.0496461037382659
"1.feed_lu",13,25,307.887963845337,202.612064583841,267.146949049562,295.647323182058,145.572668880395,0,829.546628778093,829.546628778093,0.636555935865816,-0.0752736278340205,40.5224129167683
"1.homefeed_per",14,23,0.42570491562545,0.308951681732976,0.416072349852812,0.422242688924784,0.417223123194451,0,0.886524822695035,0.886524822695035,-0.0224599024912939,-1.36222376963696,0.0644208788884994
"1.cspec",15,26,0.464843804899146,0.253146451735269,0.433418556150186,0.44757827144467,0.204438769462352,0.0849260200269018,1,0.915073979973098,0.824591378005868,-0.159191427187134,0.0496461037382659
"1.ifert_ha",16,26,106.334826634981,35.1810367803696,106.502529977336,106.546989060751,32.681647844577,25.7590854266086,173.128689492326,147.369604065717,-0.0658304174906623,-0.299518660119122,6.89956896352039
"1.arable_ha",17,26,0.440292587682596,0.165196998123841,0.423729663164722,0.431800889693403,0.156795062072073,0.204225352112676,0.835357962847005,0.631132610734329,0.577319261285449,-0.580248694930885,0.0323977968084776
"1.fodder_ha",18,26,0.0704443670830453,0.0765070493266269,0.044872056178582,0.0565772310938764,0.0279633520059524,0,0.293427230046948,0.293427230046948,1.84466576371519,2.74314227151349,0.0150042668247645
"1.grass_ha",19,26,0.476449614824413,0.158994013599236,0.494550382894837,0.48338365892537,0.137336100423258,0.120726361928616,0.73470100553319,0.613974643604574,-0.54104147719888,-0.535516167650815,0.0311812914571901
"1.rough_grazing_ha",20,22,0.038927031324531,0.0610841868178426,0.0130913792891204,0.0255805684257484,0.0194092789340499,0,0.235915492957746,0.235915492957746,1.90321779116256,2.87589410080004,0.013023192387564
"1.wood_aua_p",21,26,0.0322152360450629,0.055108342693838,0.00240573774443273,0.0212638567205619,0.00356674677989596,0,0.23432409069752,0.23432409069752,2.17396243936507,4.66034337883736,0.0108076351829861
"1.fwood_aua_p",22,26,0.000134440611820019,0.000685515303089628,0,0,0,0,0.00349545590732048,0.00349545590732048,4.52575696472732,19.2263313609467,0.000134440611820019
"1.nue",23,22,0.686304545454545,0.359215438046217,0.57695,0.629638888888889,0.25396938,0.3586,1.9881,1.6295,2.08379217807419,5.04285748499468,0.076584988717448
"1.farm_n_surplus",24,22,36.8145454545455,32.4022025599485,32.125,36.8705555555556,38.636556,-32.22,101.52,133.74,-0.0323918002213522,-0.751509698756002,6.90817279728061
"1.dsecxx613*",25,26,6.11538461538461,14.6104809587554,1,2.72727272727273,0,1,54,53,2.37341029173744,4.00023614199009,2.86535105814114
"1.dseczz612*",26,26,2.53846153846154,5.61591146105969,1,1,0,1,26,25,3.31511727669748,9.99075729788904,1.10137085102126
"1.outputinputlesssubsratio",27,26,0.816327692307692,0.221695327010881,0.797585,0.804062272727273,0.205102884,0.4463,1.52997,1.08367,0.971279705994168,1.90483474991588,0.0434780307115699
"1.fo_kg_ha",28,26,3012.28761543369,1287.31900241654,2556.30416397914,2928.64983235043,1077.45685714286,1286.56849620705,5663.5357962847,4376.96730007765,0.640698026149918,-0.948341124763653,252.464027443875
"1.netem_ha",29,26,3032.35118504479,1085.93569484165,3132.76107318696,3115.49079065396,1219.45865362729,465.054277029961,4351.20130884759,3886.14703181763,-0.618656910474667,-0.620676472606369,212.969511480943
"1.ghg_ha",30,26,3435.58440238391,900.977995275844,3733.94432821484,3542.49679323082,729.430151339609,1160.29342723005,4357.80620967297,3197.51278244292,-1.0021027149295,-0.0518587905627803,176.696322278048
